S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money,350.0,Executive Engineer NH Division HPPWD Solan,Solan,No,PWD,3648-77,2022_PWD_65950_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,05-Oct-2022 05:00 PM,13-Oct-2022 11:00 AM,05-Oct-2022 05:00 PM,13-Oct-2022 10:30 AM,NA ,NA ,05-Oct-2022 05:00 PM,13-Oct-2022 10:30 AM,14-Oct-2022 02:00 PM,1.0,DD - Demand Draft,Restoration of rain damages on Kalka Shimla Wangtoo Road on NH-22 (New NH-5) from Km131/00 to Km145/100 and 0/0 to 13/00 (SH- Removal of slips / debris on various reaches Km0/00 to Km13/00 SBP),Restoration of rain damages on Kalka Shimla Wangtoo Road on NH-22 (New NH-5) from Km131/00 to Km145/100 and 0/0 to 13/00 (SH- Removal of slips / debris on various reaches Km0/00 to Km13/00 SBP),AS per tender document ,NA ,"6,47,442",Civil Works - Roads,NA ,Tender,90.0,90.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,"13,000",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,AOC,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggarwal DAO Sh Ghanshaym Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,14-Oct-2022 12:57 PM,14-Oct-2022 02:00 PM,techsummary_99258.pdf (562.60 KB),PWD,2022_PWD_65950_4,3648-77,Restoration of rain damages on Kalka Shimla Wangtoo Road on NH-22 (New NH-5) from Km131/00 to Km145/100 and 0/0 to 13/00 (SH- Removal of slips / debris on various reaches Km0/00 to Km13/00 SBP),31-Mar-2023,"INR 511,479",90.0,Kulbir Singh Thakur,31-Mar-2023 12:04 PM,sanjeev.pdf (282.00 KB),AOC,"Er Kulbir Singh Thakur, EE",Internal,Miss Akriti Aggarwal DAO Sh hanShyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,31-Mar-2023 11:38 AM,finsummary_99258.pdf (440.32 KB),1.0,308196.0,MANISH MOHAN SHARMA,13-Oct-2022 08:00 AM,Rejected-Finance,Being L2,31-Mar-2023 11:38 AM,Technical,Technical summary,Kulbir Singh Thakur,14-Oct-2022 12:55 PM,technical_99258.pdf,1.0,308076.0,Sanjeev Kumar Aggarwal,INR,"511,479",Finance,financial summary,Kulbir Singh Thakur,31-Mar-2023 11:32 AM,finance_99258.pdf,BOQ Comparative Chart,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308132.0,ROSHAN LAL VERMA,12-Oct-2022 06:35 PM,Rejected-Finance,Being L3,31-Mar-2023 11:38 AM,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308076.0,Sanjeev Kumar Aggarwal,12-Oct-2022 02:20 PM,Accepted-AOC,Being Lowest,31-Mar-2023 12:05 PM,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,GST / Sales Tax number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,"List of Machinery, tools and plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Affidavit regarding correctness of all of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Affidavit regarding gazetted and non-gazetted employees in HPPWD related to him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
