Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR-89) under AMP for the year 2023-2024 K.M. 13/130 to 14/0,Providing and laying 30mm thick bituminous concrete,Please refer Tender documents. ,NA ,"18,60,693",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"37,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,EE Salooni Letter No. 13186-13235 dated 27.01.2023,2023_PWD_67988_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,03-Feb-2023 04:10 PM,13-Feb-2023 11:30 AM,03-Feb-2023 04:10 PM,13-Feb-2023 11:00 AM,NA ,NA ,03-Feb-2023 04:10 PM,13-Feb-2023 11:00 AM,20-Feb-2023 11:30 AM,500.0,Nil,Nil,No,1.0,321516.0,Kamal Thakur,13-Feb-2023 10:07 AM,Accepted-AOC,Work Completed,30-Mar-2024,Technical,Bid Opening Summary,Deepak Mahajan,15-Feb-2023 06:08 PM,technical_102434.pdf,Finance,Bid Opening Summary,Deepak Mahajan,23-Mar-2023 06:45 PM,finance_102434.pdf,BOQ Comparative Chart,1.0,321516.0,Kamal Thakur,INR,"1,786,266",Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,15-Feb-2023 06:53 PM,20-Feb-2023 11:30 AM,techsummary_102434.pdf (637.99 KB),PWD,2023_PWD_67988_4,EE Salooni Letter No. 13186-13235 dated 27.01.2023,Periodical Maintenance on Bathri Sundla Langera J and K boundary road (MDR-89) under AMP for the year 2023-2024 K.M. 13/130 to 14/0,28-Mar-2023,"INR 1,860,693",90.0,Kumud Kumar Upadhyay,30-Mar-2024 12:37 PM,AL.pdf (868.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant superintendent HDM DAO AE,Deepak Mahajan,23-Mar-2023 06:49 PM,finsummary_102434.pdf (18.28 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,2.0,321471.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,13-Feb-2023 10:01 AM,Rejected-Finance,Other Than Lowest,23-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.) in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
