Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,500.0,Nil,Nil,No,Providing protection work on link road to village Rundega (SH Construction of R/wall and B/walls at various RDs),Providing protection work on link road to village Rundega (SH Construction of R/wall and B/walls at various RDs),Please refer Tender documents. ,NA ,"23,31,900",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,PWD,No.PWC- 15129-228 dated 14.02.2022,2022_PWD_57168_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"46,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,24-Feb-2022 03:00 PM,08-Mar-2022 11:30 AM,24-Feb-2022 03:00 PM,07-Mar-2022 05:00 PM,NA ,NA ,24-Feb-2022 03:00 PM,07-Mar-2022 05:00 PM,22-Mar-2022 11:30 AM,AOC,PWD,2022_PWD_57168_3,No.PWC- 15129-228 dated 14.02.2022,Providing protection work on link road to village Rundega (SH Construction of R/wall and B/walls at various RDs),EE,Internal,Assistant Engineer Superintendent and senior Assistant,Jeet Singh Thakur,17-Mar-2022 05:30 PM,22-Mar-2022 11:30 AM,techsummary_86270.pdf (242.29 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Apr-2022 08:10 PM,finsummary_86270.pdf (153.96 KB),09-Mar-2023,"INR 2,331,900",60.0,Jeet Singh Thakur,09-Mar-2023 11:08 AM,3293-99.pdf (647.00 KB),Providing protection work on link road to village Rundega (SH Construction of R/wall and B/walls at various RDs),1.0,268262.0,Deepak Handa,07-Mar-2022 02:41 PM,Rejected-Finance,2nd lowest,22-Apr-2022 08:10 PM,Technical,BOS,Jeet Singh Thakur,17-Mar-2022 05:15 PM,technical_86270.pdf,Finance,BOQ,Jeet Singh Thakur,26-Mar-2022 07:27 PM,finance_86270.pdf,BOQ Comparative Chart,1.0,268066.0,VISHAL KUMAR,INR,"1,932,400",AOC
,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268270.0,Dhananjay Singh Barotra,07-Mar-2022 10:55 AM,Rejected-Finance,4th lowest,22-Apr-2022 08:10 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268221.0,MANESHWAR SINGH,06-Mar-2022 07:36 PM,Rejected-Finance,3rd lowest,22-Apr-2022 08:10 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,268066.0,VISHAL KUMAR,07-Mar-2022 04:15 PM,Accepted-AOC,work completed,09-Mar-2023 11:09 AM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
