Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"78,400",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,13-Feb-2021 04:00 PM,24-Feb-2021 12:30 PM,13-Feb-2021 04:00 PM,23-Feb-2021 05:00 PM,NA ,NA ,13-Feb-2021 04:00 PM,23-Feb-2021 05:00 PM,26-Feb-2021 05:30 PM,"Performance based Financial Incentive 2019-20(PARTII)( During the year 2020-21) by MORD to eligible States, as central Assistance for Periodic Maintenance of Timbi to Millah Mangal road (SH- Repair of pot holes and providing 10Cm wide road","Performance based Financial Incentive 2019-20(PARTII)( During the year 2020-21) by MORD to eligible States, as central Assistance for Periodic Maintenance of Timbi to Millah Mangal road (SH- Repair of pot holes and providing 10Cm wide road",please refer to tender document ,Na ,,Civil Works - Roads,NA ,Rate Contract,120.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,EE Shillai,Executive Engineer HPPWD Divison Shillai,PWD,PW/SD/CB/TA-15159-15258 DT-2-2-2021,2021_PWD_44351_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,EE Shillai,Internal,"AE Shillai, Supdt. HDM",Pramod Upreti,26-Feb-2021 05:08 PM,26-Feb-2021 05:30 PM,techsummary_66478.pdf (1028.70 KB),PWD,2021_PWD_44351_1,PW/SD/CB/TA-15159-15258 DT-2-2-2021,"Performance based Financial Incentive 2019-20(PARTII)( During the year 2020-21) by MORD to eligible States, as central Assistance for Periodic Maintenance of Timbi to Millah Mangal road (SH- Repair of pot holes and providing 10Cm wide road",09-Mar-2023,"INR 6,798,381",60.0,Narender verma,09-Mar-2023 12:51 PM,44351-1.pdf (1016.00 KB),"Performance based Financial Incentive 2019-20(PARTII)( During the year 2020-21) by MORD to eligible States, as central Assistance for Periodic Maintenance of Timbi to Millah Mangal road (SH- Repair of",EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,10-May-2021 12:47 PM,finsummary_66478.pdf (268.77 KB),1.0,199023.0,M/s Chauhan Construction,17-Feb-2021 09:05 PM,Accepted-AOC,AOC,09-Mar-2023 12:51 PM,Technical,technical summary,Pramod Upreti,26-Feb-2021 04:58 PM,technical_66478.pdf,1.0,199023.0,M/s Chauhan Construction,INR,"6,798,381",Finance,financial summary,Pramod Upreti,10-May-2021 12:42 PM,finance_66478.pdf,BOQ Comparative Chart,AOC
,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,199177.0,Nakul Chauhan,18-Feb-2021 04:57 PM,Rejected-Finance,Not lowest,10-May-2021 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
