Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The Bid security in favour EE JSV Division Hamirpur,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",NO.EE/Hamirpur/Tender/NIT/2023,2023_HPIPH_68991_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing House Hold connection by Ministry of Jal Shakti Har Ghar Nal Se Jal Providing LWSS to Naunghi Bhumpal Lahar Kotlu Niyati Rangas and multi villages under IPH Sub-Division Nadaun in Tehsil Nadaun Distt Hamirpur,Sub Head C O Testing and commissioning of water treatment plant of 0.50 MLD in shape of Rapid Sand Filter bed and allied units for LWSS Niyati Majhot LWSS Manjla Ban Har Rangas LWSS Paniyala Rangas,Please refer Tender documents. ,NA ,"75,00,000",Civil Works,NA ,Tender,120.0,180.0,EE JSV DIVISION HAMIRPUR,177001.0,NA ,NA ,NA ,EE JSV DIVISION HAMIRPUR,No ,No,"1,07,500",No,fixed,,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,800.0,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,No,1.0,Corrigendum,Other,,15-Feb-2023 05:00 PM,22-Feb-2023 11:30 AM,15-Feb-2023 05:00 PM,22-Feb-2023 11:00 AM,NA ,NA ,15-Feb-2023 05:00 PM,22-Feb-2023 11:00 AM,10-Mar-2023 01:05 PM,EE JSV Division Hamirpur,Internal,TA Supdtt HDM DAO,Sanjay Kumar,10-Mar-2023 04:25 PM,finsummary_104024.pdf (529.43 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_68991_1,NO.EE/Hamirpur/Tender/NIT/2023,Providing House Hold connection by Ministry of Jal Shakti Har Ghar Nal Se Jal Providing LWSS to Naunghi Bhumpal Lahar Kotlu Niyati Rangas and multi villages under IPH Sub-Division Nadaun in Tehsil Nadaun Distt Hamirpur,1.0,326446.0,Akhilesh Chaudhary,INR,"8,600,000",EE JSV Division Hamirpur,Internal,TA Supdt HDM DAO EE,Sanjay Kumar,10-Mar-2023 01:01 PM,10-Mar-2023 01:05 PM,techsummary_104024.pdf (576.67 KB),1.0,326446.0,Akhilesh Chaudhary,21-Feb-2023 09:50 PM,Accepted-AOC,..,10-Apr-2023,Finance,Financial,Sanjay Kumar,10-Mar-2023 04:18 PM,finance_104024.pdf,BOQ Comparative Chart,Technical,Criteria,Sanjay Kumar,10-Mar-2023 12:59 PM,technical_104024.pdf,29-Mar-2023,"INR 8,600,000",180.0,Sanjay Kumar,10-Apr-2023 06:18 PM,AOC.pdf (564.00 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,.pdf,The cost of bid form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,326366.0,AVINASH THAKUR,22-Feb-2023 09:42 AM,Rejected-AOC,..,10-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Certificate of contractor registration in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,326304.0,Karan Raj Singh,21-Feb-2023 03:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Mar-2023,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,"Income Tax PAN, GST, EPF registered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,325195.0,SUNIL KUMAR,20-Feb-2023 03:07 PM,Rejected-AOC,..,10-Apr-2023,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,The authorization letter of digital signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,A scanned copy of undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Experience of the similar work the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Form 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
