Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Stage
Er. Rahul Rana,Internal,Er. Ramesh Bhardwaj and Bhim Singh Thakur,Rahul Rana,10-Mar-2023 08:11 PM,13-Mar-2023 11:30 AM,techsummary_102452.pdf (261.89 KB),1.0,322046.0,Chaman Lal Electrical and Hardware Contractor,13-Feb-2023 10:00 AM,Rejected-Finance,Rejected due to L4,23-Mar-2023 03:15 PM,31-Mar-2023,"INR 277,640",30.0,Rahul Rana,31-Mar-2023 05:48 PM,LOH124.pdf (227.00 KB),LOH,Finance,price bid openend,Rahul Rana,13-Mar-2023 12:01 PM,None,BOQ Comparative Chart,Technical,Techno-commercial bid open,Rahul Rana,13-Feb-2023 03:53 PM,None,HPSEBL||CE(OP) South||SE(OP) Nahan||Sr.Xen (E) Nahan,2023_HPSEB_68010_1,NED/DB-Tender/NIT/Job No.-124/2022-23,NED/DB-Tender/NIT/Job No.-124/2022-23,1.0,322094.0,M/s Suresh Pal,INR,"277,640",Er. Rahul Rana,Internal,Er. Ramesh Bhardwaj (AE) and Sh. Bhim Singh (SDA),Rahul Rana,23-Mar-2023 03:15 PM,finsummary_102452.pdf (227.67 KB),AOC,04-Feb-2023 09:00 AM,13-Feb-2023 03:30 PM,04-Feb-2023 10:00 AM,13-Feb-2023 12:00 PM,04-Feb-2023 10:00 AM ,07-Feb-2023 05:00 PM ,06-Feb-2023 10:00 AM,13-Feb-2023 12:00 PM,13-Mar-2023 11:30 AM,HPSEBL||CE(OP) South||SE(OP) Nahan||Sr.Xen (E) Nahan,NED/DB-Tender/NIT/Job No.-124/2022-23,2023_HPSEB_68010_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"3,697",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,fee and emd,NED/DB-Tender/NIT/Job No.-124/2022-23,"E-Tender for Partial Turn Key Basis for replacement of rotten wooden poles X-Arms against 11/0.4 KV, 25 KVA S/Stn Rajana, Maina, Thana Kheguwa, Lana Mashure, Siyun, Pallar, Tikkeri Dungi in Elect. Section Sangrah under ESD Dadahu.",A Class License registered with CEI of HP ,NA ,"3,69,694",Electrical Works,Replacement of RWP ,Tender,60.0,30.0,Sangrah,173023.0,NA ,NA ,NA ,Sr.XEN ED Nahan,No ,No,"Sr. Executive Engineer, ED Nahan","Sr. Executive Engineer, ED Nahan",1.0,ICICI BANK,AOC
,,,,,,,2.0,321969.0,GIAN CHAND,12-Feb-2023 07:11 PM,Rejected-Finance,Rejected due to L3,23-Mar-2023 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class license registered with CEI of HP,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,3.0,321726.0,JSD GLOBAL POWER SOLUTIONS,13-Feb-2023 11:41 AM,Rejected-Technical,disqualified,10-Mar-2023 08:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,321024.0,kaushal Electricals,10-Feb-2023 01:52 PM,Rejected-Finance,Rejected due to L2,23-Mar-2023 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax and GST Clearance certificate,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5.0,322049.0,M/s Jai Shirgul Maharaj,13-Feb-2023 10:27 AM,Rejected-Technical,disqualified,10-Mar-2023 08:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6.0,322094.0,M/s Suresh Pal,13-Feb-2023 11:14 AM,Accepted-AOC,LOH,31-Mar-2023 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and Turn Over certificate CA Cerified,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7.0,321861.0,SANT RAM,13-Feb-2023 09:15 AM,Rejected-Technical,disqualified,10-Mar-2023 08:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit and other requirement as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,techno-commercial bid,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,bid capacity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,price schedule,,,,,,,,,,,,,,,,,,,,,,,AOC
