S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,Superintending Engineer,"Superintending Engineer, 5th Circle, HP PWD Palampur",06-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,25-Feb-2023 03:30 PM,Construction of link Road from Chakban Dhagwar Khas to Mashrer road km 0/000 to 1/570 including 2 Nos. bridge in District Kangra H.P.,"FC, R/walls, CD work, GSB, WBM- II, III , Tarring work, C.C Pavement side drain , parapets and road furniture i/c 2 No. 15.25 mtr Span each RCC T- beam bridge Ghurlu Nallah at R.D. 0/200,0/240 i/c five year Routine Mtc) under Nabard RIDF- XXVIII",Please refer Tender documents. ,NA ,"2,99,01,089",Civil Works,NA ,Tender,75.0,550.0,Dharamshala,176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6,"5,000",Nil,Nil,No,PWD,dshal nabard 13935-45,2023_PWD_67984_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,99,000",Yes,fixed,,Nil,Nil,Er I S Uttam,Internal,"Supdt. Gr II (Budget, AE (D), EE(D) o/o 5th circle palampur, DAO and EE HP PWD Division Dharamshala",Jagtar Singh Thakur,21-Feb-2023 03:22 PM,25-Feb-2023 03:30 PM,techsummary_102418.pdf (272.20 KB),PWD,2023_PWD_67984_1,dshal nabard 13935-45,Construction of link Road from Chakban Dhagwar Khas to Mashrer road km 0/000 to 1/570 including 2 Nos. bridge in District Kangra H.P.,15-Mar-2023,"INR 27,222,345",550.0,Jagtar Singh Thakur,02-May-2023 06:36 PM,NABARD.pdf (294.00 KB),Shri Rohit Sharma,Er. I.S. Uttam,Internal,"EE(D),AE(D), Supdt. (Budget) O/O SE 5th Circle Palampur, EE Palampur, D/Shala, Tanda,Jaisinghpur and Kangra",Jagtar Singh Thakur,15-Mar-2023 07:45 PM,finsummary_102418.pdf (316.58 KB),1.0,324038.0,Rohit,INR,"27,222,345",Finance,AS PER DOCUMENTS ATTACHED,Jagtar Singh Thakur,15-Mar-2023 07:38 PM,finance_102418.pdf,BOQ Comparative Chart,1.0,323767.0,Battan Kumar,16-Feb-2023 10:53 AM,Rejected-Technical,Non Responsive,21-Feb-2023,Technical,As per document attached,Jagtar Singh Thakur,21-Feb-2023 03:17 PM,technical_102418.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per section -2 clause-16.1(on line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,323110.0,Chamunda Construction Works,16-Feb-2023 02:51 PM,Rejected-Finance,DUE TO HIGHER BIDDER,15-Mar-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q. 1-Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324038.0,Rohit,16-Feb-2023 04:54 PM,Accepted-AOC,L1,02-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.3.1) (1.3.2) (1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1. as per section -3 ( 1.4) alongwith documents i.e. Bill, R.C etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.6) (1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.2) (1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section-2 clause ( 4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section -2 Clause(4.4 B(a), (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
