Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Three bidders participated in this work and two bidders found responsive. Hence committee decided to open the financial bid .,Sanjiv Kumar,07-Mar-2023 12:15 PM,technical_104795.pdf,1.0,327677.0,ankit kumar sharma,23-Feb-2023 10:16 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Mar-2023 12:15 PM,1.0,330002.0,Suvindu Soni,INR,"305,493",Finance,Financial Bid of two bidders open successfully.,Sanjiv Kumar,29-Mar-2023 11:35 AM,finance_104795.pdf,BOQ Comparative Chart,29-Mar-2023,"INR 305,493",30.0,Sanjiv Kumar,29-Mar-2023 11:38 AM,AwardAndreta.PDF (166.00 KB),Xen HPPWD Baijnath,Internal,DAO HDM SupdtGII AE Baijnath,Sanjiv Kumar,29-Mar-2023 11:36 AM,finsummary_104795.pdf (158.60 KB),Xen HPPWD Baijnath,Internal,HDM SupdtGII AO AE,Sanjiv Kumar,07-Mar-2023 12:15 PM,13-Mar-2023 11:00 AM,techsummary_104795.pdf (181.91 KB),PWD,2023_PWD_69475_1,PWD-BD-TA-2022-23-19728-78,Repair of Paprola Andreta road Km 0/0 to 6/300,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,PWD,PWD-BD-TA-2022-23-19728-78,2023_PWD_69475_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,22-Feb-2023 06:00 PM,01-Mar-2023 11:30 AM,22-Feb-2023 06:00 PM,01-Mar-2023 11:00 AM,NA ,NA ,22-Feb-2023 06:00 PM,01-Mar-2023 11:00 AM,13-Mar-2023 11:00 AM,"6,500",No,fixed,,EE HPPWD Baijnath,Baijnath,Repair of Paprola Andreta road Km 0/0 to 6/300,"P/L G-I, G-II, Tarring work at RD 4/081 to 4/098, 4/102 to 4/122 and 4/950 to 4/958, 4/962 to 4/972 and 6/188 to 6/198",Please refer Tender documents. ,NA ,"3,24,130",Civil Works - Roads,NA ,Tender,60.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,DD - Demand Draft,350.0,EE HPPWD Baijnath,Baijnath,No,AOC
,,,,,2.0,329458.0,Krishan Kumar,28-Feb-2023 03:09 PM,Rejected-Finance,Higher Side,29-Mar-2023 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,3.0,330002.0,Suvindu Soni,28-Feb-2023 04:09 PM,Accepted-AOC,L1,29-Mar-2023 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
