Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,"Theog Division, HPPWD., Theog",PWD,THD/CB/Tender/2022-8390-8409,2022_PWD_65649_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"18,800",No,fixed,,Nil,Nil,Construction of Jabal Sabal Bagri Kenchi road km 0.00 to 8.970,"Providing and laying Kharanja soling at RD 3/235 to 3/300, 3/300 to 3/435,3/480 to 3/9304/010 to 4/255,4/300 to 4/330 and 4/510 to 4/630",As per G.C.C ,NA ,"9,37,008",Civil Works - Roads,NA ,Tender,90.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,28-Sep-2022 05:00 PM,07-Oct-2022 11:00 AM,28-Sep-2022 05:00 PM,06-Oct-2022 05:00 PM,NA ,NA ,28-Sep-2022 05:00 PM,06-Oct-2022 05:00 PM,12-Oct-2022 10:00 AM,1.0,ICICI BANK,AOC,1.0,306280.0,Indu Verma,05-Oct-2022 03:51 PM,Accepted-AOC,Neing L1,25-Mar-2023 04:26 PM,Technical,Bid Opening summary,Ravi Bhatti,10-Oct-2022 04:43 PM,technical_98819.pdf,1.0,306280.0,Indu Verma,INR,"793,880",Finance,Financial bid opening summaryh,Ravi Bhatti,13-Oct-2022 09:41 AM,finance_98819.pdf,BOQ Comparative Chart,"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, Head Draughtsman, Kewal Ram, Beakta, Supdt. Gr-II Leela Verma, Sr. Asstt.",Ravi Bhatti,11-Oct-2022 03:33 PM,12-Oct-2022 10:00 AM,techsummary_98819.pdf (657.39 KB),PWD,2022_PWD_65649_1,THD/CB/Tender/2022-8390-8409,Construction of Jabal Sabal Bagri Kenchi road km 0.00 to 8.970,02-Nov-2023,"INR 937,008",30.0,Ravi Bhatti,25-Mar-2023 04:26 PM,Award.pdf (846.00 KB),Award letter,"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, HDM, Jia Lal Draughtsman",Ravi Bhatti,01-Nov-2022 02:22 PM,finsummary_98819.pdf (418.26 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,306568.0,Pravinder Chandel,06-Oct-2022 01:17 PM,Rejected-Finance,Being higher rates,01-Nov-2022 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,306139.0,RAJESH SHARMA,06-Oct-2022 03:02 PM,Rejected-Finance,Being higher rates,01-Nov-2022 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,306237.0,Ramesh Chand Verma,06-Oct-2022 03:46 PM,Rejected-Finance,Being Higher rates,01-Nov-2022 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
