Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Technical,BOS,Chaman Singh,16-Feb-2023 04:32 PM,technical_102398.pdf,1.0,322609.0,Chaman Lal,14-Feb-2023 09:09 AM,Rejected-Finance,Not found lowest,08-Mar-2023 01:39 PM,1.0,322410.0,WALIA CONSTRUCTIONS,INR,"1,609,693",Finance,FBOS,Chaman Singh,22-Feb-2023 12:36 PM,finance_102398.pdf,BOQ Comparative Chart,08-Mar-2023,"INR 1,609,693",60.0,Devi Ram Chauhan,08-Mar-2023 01:40 PM,AOC67977.pdf (433.00 KB),Being lowest and responsive,"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Lalit Sharma Supdt. Gr-II,Devi Ram Chauhan,08-Mar-2023 01:39 PM,finsummary_102398.pdf (433.28 KB),"Er. D R Chauhan, Executive Engineer",Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Lalit Sharma Supdt.,Chaman Singh,17-Feb-2023 03:19 PM,20-Feb-2023 12:30 PM,techsummary_102398.pdf (596.80 KB),PWD,2023_PWD_67977_1,PW-SNR-CB-E-Ten/Giriraj- 19416-26 dt.28.1.23,Improvement of black spot on Karangal Kinder road KM 0/0 to 15/0,AOC,500.0,EE Sundernagar,Sundernagar,No,PWD,PW-SNR-CB-E-Ten/Giriraj- 19416-26 dt.28.1.23,2023_PWD_67977_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"44,000",Yes,fixed,,EE Sundernagar,Sundernagar,1.0,ICICI BANK,Improvement of black spot on Karangal Kinder road KM 0/0 to 15/0,SH Providing and fixing W metal beam crash barrier at RD 12/400 to 12/600 and 14/250 to 14/450,As per bid document ,NA ,"21,82,042",Civil Works,NA ,Tender,90.0,60.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,03-Feb-2023 12:30 PM,14-Feb-2023 11:30 AM,03-Feb-2023 12:30 PM,14-Feb-2023 10:00 AM,NA ,NA ,03-Feb-2023 12:30 PM,14-Feb-2023 10:00 AM,20-Feb-2023 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,AOC
,,,,,2.0,322152.0,NARENDER SINGH,13-Feb-2023 01:03 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,AOC
,,,,,3.0,322508.0,Pankaj Govt. Contractor,13-Feb-2023 08:24 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,4.0,322611.0,RAJESH KUMAR,14-Feb-2023 09:42 AM,Rejected-Finance,Not found lowest,08-Mar-2023 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,AOC
,,,,,5.0,322589.0,SURENDER KUMAR,13-Feb-2023 11:47 PM,Rejected-Finance,Not found lowest,08-Mar-2023 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand as per general rules No. 16 and 26.,AOC
,,,,,6.0,322410.0,WALIA CONSTRUCTIONS,13-Feb-2023 05:51 PM,Accepted-AOC,Being lowest and responsive,08-Mar-2023 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC
