Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Mar-2023,"INR 2,660,911",60.0,Sudhir Kumar Gupta,09-May-2024 11:15 AM,AOC69484_5.pdf (293.00 KB),AOC,ErSudhirGupta,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,09-Mar-2023 01:42 PM,finsummary_104852.pdf (277.14 KB),ErSudhirGupta,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,02-Mar-2023 04:45 PM,03-Mar-2023 11:00 AM,techsummary_104852.pdf (212.90 KB),PWD,2023_PWD_69484_5,SD-I-CTR-Tender-23- 21961 dt 16-2-23,M/T of Mashobra Ramnagri road Km. 0/00 to 5/300 (SH Providing and laying G-III and 30 mm bitumen concrete in Km. 4/300 to 5/300 and 30 mm bitumen concrete in Km. 0/000 to 0/250,1.0,330450.0,KHAJAN SINGH,INR,"2,793,157",Finance,Bid opening summary,Sudhir Kumar Gupta,04-Mar-2023 01:15 PM,finance_104852.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,02-Mar-2023 04:44 PM,technical_104852.pdf,1.0,329982.0,DALEEP TOMAR,01-Mar-2023 03:52 PM,Rejected-Finance,2nd Lowest,09-Mar-2023 01:42 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"53,300",No,fixed,,Nil,Nil,23-Feb-2023 06:00 PM,02-Mar-2023 11:00 AM,23-Feb-2023 06:00 PM,01-Mar-2023 04:00 PM,NA ,NA ,23-Feb-2023 06:00 PM,01-Mar-2023 04:00 PM,03-Mar-2023 11:00 AM,1.0,ICICI BANK,M/T of Mashobra Ramnagri road Km. 0/00 to 5/300 (SH Providing and laying G-III and 30 mm bitumen concrete in Km. 4/300 to 5/300 and 30 mm bitumen concrete in Km. 0/000 to 0/250,M/T of Mashobra Ramnagri road Km. 0/00 to 5/300 (SH Providing and laying G-III and 30 mm bitumen concrete in Km. 4/300 to 5/300 and 30 mm bitumen concrete in Km. 0/000 to 0/250,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,PWD,SD-I-CTR-Tender-23- 21961 dt 16-2-23,2023_PWD_69484_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330450.0,KHAJAN SINGH,01-Mar-2023 03:49 PM,Accepted-AOC,Awarded,09-May-2024 11:15 AM,AOC,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
