Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
10-Mar-2023,"INR 36,519,623",540.0,Suresh Kumar Walia,16-Mar-2023 02:37 PM,Award.pdf (249.00 KB),Award,SE 5th C Palampur,Internal,"EE (D) 5th Palampur, EE Tanda, DAO Tanda, AE (D) 5th Palampur, Supdt-II (B) 5th Palampur",Suresh Kumar Walia,04-Mar-2023 12:06 PM,finsummary_102544.pdf (196.42 KB),SE 5th C Palampur,Internal,"EE (D) 5th Palampur, EE Tanda, DAO Tanda, AE (D) 5th Palampur, Supdt-II (B) 5th Palampur",Suresh Kumar Walia,21-Feb-2023 10:15 AM,25-Feb-2023 03:30 PM,techsummary_102544.pdf (797.07 KB),PWD,2023_PWD_68088_1,NABARD,Construction of 33.40 mtr Span PSC Box Girder Bridge over Dharoon Khad including approaches to connect village Kaled with Karali Da Bag Km 0/000 to 0/695) UnderNABARD RIDF-XXVIII,Finance,SUM,Suresh Kumar Walia,04-Mar-2023 12:05 PM,finance_102544.pdf,BOQ Comparative Chart,1.0,322407.0,Chamunda Construction Works,INR,"30,142,366",Technical,sum,Suresh Kumar Walia,21-Feb-2023 10:13 AM,technical_102544.pdf,1.0,321563.0,Battan Kumar,15-Feb-2023 12:41 PM,Rejected-Technical,Document not received as per requirement,21-Feb-2023 10:15 AM,AOC,Construction of 33.40 mtr Span PSC Box Girder Bridge over Dharoon Khad including approaches to connect village Kaled with Karali Da Bag Km 0/000 to 0/695) UnderNABARD RIDF-XXVIII,"FC, RW, CD work, GSB, WBM-II, WBM-III, Tarring work, c.c pavement interlocking paver block, drain, parapet road furniture and construction of 33.40 mtr span Box Girder Bridge over Dharoon Khad RD at RD 0/695 including approaches",Please refer Tender documents. ,NA ,"3,65,19,623",Civil Works - Bridges,NA ,Tender,120.0,540.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o S E 5th circle HP PWD Palampur,No ,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,06-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,25-Feb-2023 03:30 PM,"7,31,000",No,fixed,,Nil,Nil,PWD,NABARD,2023_PWD_68088_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,O/o S E 5th circle HP PWD Palampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,322407.0,Chamunda Construction Works,15-Feb-2023 04:58 PM,Accepted-AOC,Award,16-Mar-2023 02:38 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1 (online),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324204.0,M/S YUDHBIR SINGH RAJPUT&SONS,16-Feb-2023 03:17 PM,Rejected-Finance,Lowest 2,04-Mar-2023 12:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,321918.0,Sandeep Govt Contractor,16-Feb-2023 11:37 AM,Rejected-Technical,Document not received as per requirement,21-Feb-2023 10:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with documents i.e. Bill, R.C etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl 4.4B(a), (c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ section-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
