Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,500",Nil,Nil,No,"C/O Indoor Auditorium Chamba Tehsil Chamba Distt. Chamba, HP (SH- Providing CCTV Cameras and Surveillance system therein)","C/O Indoor Auditorium Chamba Tehsil Chamba Distt. Chamba, HP (SH- Providing CCTV Cameras and Surveillance system therein)",Please refer Tender documents. ,NA ,"31,07,414",Electrical Works,NA ,Tender,120.0,180.0,"Chamba, HP",176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,17-Jun-2022 05:00 PM,24-Jun-2022 11:30 AM,17-Jun-2022 05:00 PM,24-Jun-2022 10:00 AM,NA ,NA ,17-Jun-2022 05:00 PM,24-Jun-2022 10:00 AM,07-Jul-2022 11:30 AM,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. Division HPPWD Palampur,2022_PWD_61833_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,"54,200",No,fixed,,Nil,Nil,AOC,1.0,287914.0,Ansh Trading company,INR,"3,297,541",Finance,as per uploaded document,Dalip singh Patial,23-Jul-2022 04:13 PM,finance_93335.pdf,BOQ Comparative Chart,1.0,287914.0,Ansh Trading company,23-Jun-2022 10:56 PM,Accepted-AOC,L1,14-Mar-2023 12:42 PM,Technical,as per uploaded document,Dalip singh Patial,04-Jul-2022 11:44 AM,technical_93335.pdf,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM,Dalip singh Patial,04-Jul-2022 11:46 AM,07-Jul-2022 11:30 AM,techsummary_93335.pdf (237.29 KB),PWD,2022_PWD_61833_1,Elect. Division HPPWD Palampur,"C/O Indoor Auditorium Chamba Tehsil Chamba Distt. Chamba, HP (SH- Providing CCTV Cameras and Surveillance system therein)",14-Mar-2023,"INR 3,107,414",180.0,Dalip singh Patial,14-Mar-2023 12:41 PM,AOC9920-25.pdf (916.00 KB),9920-25 DT 28.02.2023,Er. Dalip Singh Patial Executive Engineer,Internal,as per uploaded document,Dalip singh Patial,23-Jul-2022 04:26 PM,finsummary_93335.pdf (149.96 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,AOC,,,,,,,,,,,,2.0,287876.0,AVNET SOLUTIONS,22-Jun-2022 03:44 PM,Rejected-Finance,L2,23-Jul-2022 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per BOQ as per tender document page-147,,,,,,,AOC,,,,,,,,,,,,3.0,287596.0,Insat Techno Services,22-Jun-2022 03:56 PM,Rejected-Finance,L3,23-Jul-2022 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,average Annual financial turnover as per tender document page-147,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done as per tender document page-147,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
