S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,309453.0,BHARAT ELECTROTECH PRIVATE LIMITED,26-Oct-2022 07:05 PM,Accepted-AOC,order preference at L-1 rate to H.P. based local firms,02-Mar-2023 04:55 PM,Sr. Executive Engineer II,Internal,Assistant Engineer Junior Engineer,Suraj Pandey,15-Dec-2022 05:25 PM,16-Dec-2022 03:00 PM,techsummary_99881.pdf (383.41 KB),02-Mar-2023,"INR 115,819,745",180.0,Suraj Pandey,02-Mar-2023 04:49 PM,AOCConductors.pdf (538.00 KB),"3 purchase orders were placed to M/S Mahavir transmission ltd noida, M/s Bharat electro tec kangra, m/s Himachal aluminium and conuctors kangara on dated 23.01.2023",Technical,Technical bid opening summary,Suraj Pandey,28-Oct-2022 04:54 PM,technical_99881.pdf,Finance,Price bid opening summary for TE No.20-2022,Suraj Pandey,16-Dec-2022 04:21 PM,finance_99881.pdf,BOQ Comparative Chart,1.0,309248.0,Mahavir Transmission Limited,INR,"59,066,267",HPSEBL,2022_HPSEB_66429_1,CE(MM)-20/2022,Procurement of ASCR/ AAAC conductor of assorted sizes,Sr. Executive Engineer II,Internal,"Assistant Engineer, under secretary",Suraj Pandey,02-Mar-2023 04:43 PM,finsummary_99881.pdf (537.86 KB),AOC,"1,475",Nil,Nil,No,Procurement of ASCR/ AAAC conductor of assorted sizes,Procurement of ASCR/ AAAC conductor of assorted sizes,As per NIT ,"EMD for HP local registered units is Rs.9,25,732.00 and for other bidders is Rs.11,75,732.00 ","11,75,73,155",Electrical Work/ Equipment,NA ,Tender,180.0,120.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,HPSEBL,CE(MM)-20/2022,2022_HPSEB_66429_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,1.0,ICICI BANK,Chief Engineer MM,"Office of Chief Engineer(MM), Vidyut Bhawan, Shimla-171004",1.0,Fee,.pdf,Proof of Tender Fee,12-Oct-2022 05:00 PM,28-Oct-2022 11:30 AM,12-Oct-2022 05:00 PM,27-Oct-2022 12:00 PM,NA ,NA ,13-Oct-2022 10:00 AM,27-Oct-2022 12:00 PM,16-Dec-2022 03:00 PM,"11,75,732",Yes,fixed,,Nil,Nil,AOC
2.0,309873.0,Himachal Aluminium and Conductors,26-Oct-2022 06:57 PM,Accepted-AOC,order preference at L-1 rate to H.P. based local firms,02-Mar-2023 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,309453.0,BHARAT ELECTROTECH PRIVATE LIMITED,INR,"29,444,254",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,AOC
3.0,309683.0,JAIN HIM CORPORATION,27-Oct-2022 10:33 AM,Rejected-Technical,Due to non-compliance of qualification criteria as per NIT,15-Dec-2022 05:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,309873.0,Himachal Aluminium and Conductors,INR,"27,309,224",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS Certificate, ISO certificate, GST regist certi, PAN Card copy, ITR and GST clear certi",,,,,,,,,,,,,,,,AOC
4.0,309248.0,Mahavir Transmission Limited,27-Oct-2022 11:44 AM,Accepted-AOC,Quoted L-1 rates,02-Mar-2023 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA.",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly signed tender documents and any other requisite documents required as per NIT.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Technical Bid,,,,,,,,,,,,,,,,AOC
