S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,"2,300",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bidding Documents,Bodoland Territorial Council||Irrigation-BTC,CHDI/ET/2022-23/1,2022_BoTC_27620_13,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"CHD, Irrigation, BTC","O/o the CHD, Irrigation, BTC, Kokrajhar","2,26,523",Yes,percentage,2.0%,Nil,Nil,07-Nov-2022 02:00 PM,30-Nov-2022 02:00 PM,07-Nov-2022 02:00 PM,30-Nov-2022 12:00 PM,NA ,NA ,14-Nov-2022 10:00 AM,30-Nov-2022 12:00 PM,04-Jan-2023 05:15 PM,"DIFFERENT WORKS OF EXTENSION, RENOVATION AND MODERNIZATION OF (ERM), SUKLA IRRIGATION PROJECT UNDER PMKSY-AIBP FOR THE YEAR 2021-22","C.C. lining including earth work at Main Canal D1 from Chainage 8400 m to 8730 m (Surface Area 3831.3 sqm)of ERM,Sukla Irrigation Project under PMKSY-AIBP for the year 2021-22 , Group No.13",Please refer Tender documents. ,NA ,"1,13,26,145",Civil Works,NA ,Tender,180.0,365.0,at Sukla FIS,781364.0,NA ,NA ,NA ,Kokrajhar,No ,No,AOC,Bodoland Territorial Council||Irrigation-BTC,2022_BoTC_27620_13,CHDI/ET/2022-23/1,"DIFFERENT WORKS OF EXTENSION, RENOVATION AND MODERNIZATION OF (ERM), SUKLA IRRIGATION PROJECT UNDER PMKSY-AIBP FOR THE YEAR 2021-22",1,164607,ABDUL SAMAD CHOUDHURY,29-Nov-2022 06:25 PM,Accepted-AOC,work allotted,23-Mar-2023 12:50 AM,Technical,technical bid opened,Khonghar Basumatary,06-Dec-2022 04:30 PM,,23-Mar-2023,INR 10193530.5,365.0,Mirajul Haque,23-Mar-2023 12:48 AM,13.pdf (555.00 KB),"Binod Deka,CHD",Internal,,Mirajul Haque,23-Mar-2023 12:47 AM,finsummary_42786.pdf (554.73 KB),1.0,163690.0,M/S Kusumbar Construction,INR,3397843.5,Finance,Financial Bid Opened,Khonghar Basumatary,04-Jan-2023 05:41 PM,,BOQ Comparative Chart,"Binod Deka,CHD",Internal,,Ramizuddin Ahmed,04-Jan-2023 05:13 PM,04-Jan-2023 05:15 PM,techsummary_42786.pdf (420.64 KB),AOC
,,,,,,,,.pdf,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,164297,ARGENG DAIMARY,28-Nov-2022 02:13 PM,Rejected-Technical,documents not found in order,04-Jan-2023 05:13 PM,,,,,,,,,,,,,,,,,,2.0,164323.0,Natsakee Incorporation,INR,3397843.5,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,163854,BIRKHANG BASUMATARY,30-Nov-2022 08:22 AM,Rejected-Technical,documents not found in order,04-Jan-2023 05:13 PM,,,,,,,,,,,,,,,,,,3.0,164607.0,ABDUL SAMAD CHOUDHURY,INR,3397843.5,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,164046,Ganesh Daimary,29-Nov-2022 10:42 AM,Rejected-Finance,rejected,23-Mar-2023 12:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,164586,Mijanur Alam,30-Nov-2022 10:25 AM,Rejected-Finance,rejected,23-Mar-2023 12:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,163690,M/S Kusumbar Construction,30-Nov-2022 11:00 AM,Accepted-AOC,work allotted,23-Mar-2023 12:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,163841,M/S M D ASSOCIATES,29-Nov-2022 09:06 PM,Rejected-Finance,rejected,23-Mar-2023 12:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,164756,NABAJYOTI DEKA,30-Nov-2022 11:02 AM,Rejected-Technical,documents not found in order,04-Jan-2023 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,164323,Natsakee Incorporation,28-Nov-2022 02:14 PM,Accepted-AOC,work allotted,23-Mar-2023 12:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,162551,PARIMAL DEBNATH,26-Nov-2022 12:23 AM,Rejected-Finance,rejected,23-Mar-2023 12:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
