Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
17-Mar-2023,"INR 464,792",90.0,Rahul Thakur,20-Mar-2023 12:35 PM,ayushthakurkuppar.pdf (306.00 KB),work awarded due to lowest bidder L-1,Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,19-Jul-2022 12:54 PM,finsummary_93449.pdf (193.16 KB),Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,15-Jul-2022 04:17 PM,15-Jul-2022 04:30 PM,techsummary_93449.pdf (283.41 KB),PWD,2022_PWD_61923_1,PW-JND-B and R-EA-I-NIT- 7611-35 dt. 13.06.2022,Construction of Joginder Nagar Kupper Harizan Basti link road Km. 0/0 to 2/0.,Finance,Financial Bid opening summary,Sanjiv Kumar,19-Jul-2022 12:49 PM,finance_93449.pdf,BOQ Comparative Chart,1.0,288393.0,Ayush Thakur,INR,"464,792",Technical,Technical bid opening summary,Sanjiv Kumar,28-Jun-2022 05:01 PM,technical_93449.pdf,1.0,288393.0,Ayush Thakur,27-Jun-2022 01:50 PM,Accepted-AOC,work awarded due to lowest bidder L-1,20-Mar-2023 12:36 PM,AOC,Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",PWD,PW-JND-B and R-EA-I-NIT- 7611-35 dt. 13.06.2022,2022_PWD_61923_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,22-Jun-2022 10:00 AM,28-Jun-2022 11:30 AM,22-Jun-2022 10:00 AM,27-Jun-2022 05:00 PM,NA ,NA ,22-Jun-2022 10:00 AM,27-Jun-2022 05:00 PM,15-Jul-2022 04:30 PM,"11,200",No,fixed,,Nil,Nil,Construction of Joginder Nagar Kupper Harizan Basti link road Km. 0/0 to 2/0.,Construction of retaining wall at Km. 0/265 to 0/280 and Km. 0/425 to 0/440),AS Per SBD ,NA ,"5,59,358",Civil Works - Roads,NA ,Tender,90.0,90.0,Kupper,175015.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288548.0,BHUMI SINGH,26-Jun-2022 02:08 PM,Rejected-Finance,Rejected due to L-2,19-Jul-2022 12:54 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
