Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,Executive Engineer,O/o EE HP PWD Tanda at Nagrota Bagwan,1.0,ICICI BANK,"Construction of 8 Nos. Type-IV Quarters at Dr. RPGMC and H Tanda in District Kangra, (H.P.). DEPOSIT WORK.(SH-Construction of 8 Nos. Type-IV Quarter including Water Supply and Sanitary Installation.)","Construction of 8 Nos. Type-IV Quarters at Dr. RPGMC and H Tanda in District Kangra, (H.P.). DEPOSIT WORK.(SH-Construction of 8 Nos. Type-IV Quarter including Water Supply and Sanitary Installation.)",Please refer Tender documents. ,NA ,"2,62,45,450",Civil Works - Roads,NA ,Tender,120.0,365.0,Nagrota,176147.0,NA ,NA ,NA ,O/o EE HP PWD Tanda at Nagrota Bagwan,No ,No,PWD,PWD-Civil Tanda 16,2023_PWD_67198_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,"5,24,910",No,fixed,,Nil,Nil,21-Jan-2023 03:00 PM,27-Jan-2023 11:30 AM,21-Jan-2023 03:00 PM,27-Jan-2023 09:00 AM,NA ,NA ,21-Jan-2023 03:00 PM,27-Jan-2023 09:00 AM,04-Feb-2023 02:00 PM,PWD,2023_PWD_67198_3,PWD-Civil Tanda 16,"Construction of 8 Nos. Type-IV Quarters at Dr. RPGMC and H Tanda in District Kangra, (H.P.). DEPOSIT WORK.(SH-Construction of 8 Nos. Type-IV Quarter including Water Supply and Sanitary Installation.)",Dr Suresh Kumar Walia,Internal,AE DAO HDM Supdt,Suresh Kumar Walia,02-Feb-2023 11:10 AM,04-Feb-2023 02:00 PM,techsummary_101584.pdf (1254.53 KB),Executive Engineer,Internal,AE DAO SUpdt HDM,Suresh Kumar Walia,07-Feb-2023 01:22 PM,finsummary_101584.pdf (252.16 KB),31-Mar-2023,"INR 26,245,450",365.0,Suresh Kumar Walia,20-Apr-2023 03:29 PM,Award.pdf (701.00 KB),Award,1.0,316473.0,Ashwani Kumar,25-Jan-2023 02:21 PM,Rejected-Finance,Lowest 2,07-Feb-2023,Technical,Sum,Suresh Kumar Walia,02-Feb-2023 11:07 AM,technical_101584.pdf,Finance,sum,Suresh Kumar Walia,07-Feb-2023 01:19 PM,finance_101584.pdf,BOQ Comparative Chart,1.0,316707.0,M/s Kulwinder Singh and Co.,INR,"24,065,244"
,,.pdf,Valid Contractor registration,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,316707.0,M/s Kulwinder Singh and Co.,26-Jan-2023 10:44 AM,Accepted-AOC,Award,20-Apr-2023,,,,,,,,,,,,,,,,
,,.pdf,PAN No GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,316768.0,RAKESH RANA,26-Jan-2023 03:58 PM,Rejected-Technical,Documents not received as per requirement,02-Feb-2023,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident Fund ( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,316411.0,Ravi Kumar,26-Jan-2023 11:47 AM,Rejected-Finance,Lowest 3,07-Feb-2023,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,316640.0,Ujjawal Singh,26-Jan-2023 04:09 PM,Rejected-Finance,Lowest 4,07-Feb-2023,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work in hand detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
