Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
16-Jul-2022 11:00 AM,23-Jul-2022 10:30 AM,16-Jul-2022 11:00 AM,22-Jul-2022 05:00 PM,NA ,NA ,16-Jul-2022 11:00 AM,22-Jul-2022 05:00 PM,10-Aug-2022 10:30 AM,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangan,"5,00,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,No.BGN/2022-23-3909-40 dated 01-07-2022,2022_PWD_62767_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),"5,000",Nil,Nil,No,Construction of Newly upgraded 50 Bedded Civil Hospital Bangana in Distt. Una,"C/o Building portion,water supply and sanitary installation ,rain water harvesting Tank ,septic tank and site development",Please refer Tender documents. ,NA ,"8,10,54,761",Civil Works - Buildings,NA ,Tender,120.0,730.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,Er.S.P.Dhiman EE,Internal,DAOSUPDTHDM,SHASHI PAL,05-Aug-2022 11:46 AM,10-Aug-2022 10:30 AM,techsummary_94636.pdf (511.44 KB),PWD,2022_PWD_62767_1,No.BGN/2022-23-3909-40 dated 01-07-2022,Construction of Newly upgraded 50 Bedded Civil Hospital Bangana in Distt. Una,23-Mar-2023,"INR 71,300,000",730.0,Dev Raj,03-Apr-2023 05:47 PM,k.pdf (1191.00 KB),Award,Er.S.P.Dhiman EE,Internal,DAOSUPDTHDM,SHASHI PAL,18-Aug-2022 04:18 PM,finsummary_94636.pdf (422.22 KB),1.0,292387.0,MSC Roads and Bridges Private Limited,22-Jul-2022 01:49 PM,Rejected-Finance,L5,18-Aug-2022,Technical,techbidopeningsummary,SHASHI PAL,05-Aug-2022 11:40 AM,technical_94636.pdf,1.0,292203.0,m/s kathuria constrution co.,INR,"71,300,000",Finance,financialbidopeningsummary,SHASHI PAL,18-Aug-2022 04:11 PM,finance_94636.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292203.0,m/s kathuria constrution co.,21-Jul-2022 08:39 PM,Accepted-AOC,L1,03-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,292358.0,M/s Satish Kumar Sharma,22-Jul-2022 04:09 PM,Rejected-Finance,L3,18-Aug-2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment with upto date returns and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,292395.0,M/s Shree Ramji Dass Builders,22-Jul-2022 04:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Aug-2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,292269.0,OM PARKASH SHARMA AND SONS,22-Jul-2022 12:07 PM,Rejected-Finance,L4,18-Aug-2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,292385.0,VIPUL CONSTRUCTIONS,22-Jul-2022 02:19 PM,Rejected-Finance,L2,18-Aug-2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership as per schedule F 19C or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
