Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68533_1,184619/2022-23-8379-85 Dated 08-02-2023,"Tender for replacement of 06 Nos rotten wooden poles of 22 KV HT Line electrical section Ashla under ESD HPSEBL, Chhatri.",1.0,324114.0,SUNEEL THAKUR ELECTRICAL,INR,"160,059.92","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,14-Mar-2023 05:02 PM,finsummary_103253.pdf (392.99 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,14-Mar-2023 01:40 PM,14-Mar-2023 01:45 PM,techsummary_103253.pdf (388.42 KB),1.0,323488.0,Koyla Engineering Works,20-Feb-2023 03:23 PM,Rejected-Finance,L2,14-Mar-2023 05:02 PM,21-Mar-2023,"INR 163,141",30.0,Sushil Kumar,21-Mar-2023 03:25 PM,HTashla.149.pdf (2229.00 KB),Awarded to M/S Suneel Thakur A- Class Electrical Contractor(L-1) which found lowest.,Finance,Financial bid opened by tender committee.,Sushil Kumar,14-Mar-2023 04:58 PM,finance_103253.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,14-Mar-2023 01:35 PM,technical_103253.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8379-85 Dated 08-02-2023,2023_HPSEB_68533_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,ICICI BANK,590.0,Nil,Nil,No,09-Feb-2023 05:00 PM,02-Mar-2023 12:30 PM,09-Feb-2023 05:00 PM,02-Mar-2023 10:30 AM,NA ,NA ,09-Feb-2023 05:00 PM,02-Mar-2023 10:30 AM,14-Mar-2023 01:45 PM,"4,079",No,fixed,,Nil,Nil,1.0,Date Corrigendum-4,Date,,"Tender for replacement of 06 Nos rotten wooden poles of 22 KV HT Line electrical section Ashla under ESD HPSEBL, Chhatri.","Tender for replacement of 06 Nos rotten wooden poles of 22 KV HT Line electrical section Ashla under ESD HPSEBL, Chhatri.",Please refer tender document  ,N/A ,"1,63,141",Supply and Erection,Electrical work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,330627.0,LEKH RAJ,01-Mar-2023 09:08 PM,Rejected-Finance,L3,14-Mar-2023 05:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,324114.0,SUNEEL THAKUR ELECTRICAL,01-Mar-2023 07:10 PM,Accepted-AOC,Awarded to M/S Suneel Thakur A- Class Electrical Contractor(L-1) which found lowest.,21-Mar-2023 03:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
