Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,BOS,Jeet Singh Thakur,24-Apr-2021 05:17 PM,technical_69626.pdf,1.0,208295.0,Rahul Thakur,16-Apr-2021 06:10 PM,Accepted-AOC,L1,06-Mar-2023 05:47 PM,1.0,208295.0,Rahul Thakur,INR,"4,452,373",Finance,BOS,Jeet Singh Thakur,04-Mar-2023 01:01 PM,None,BOQ Comparative Chart,EE,Internal,SR ASSTT HDM SUPDT,Joginder Kumar,06-Mar-2023 05:44 PM,finsummary_69626.pdf (188.63 KB),06-Mar-2023,"INR 4,420,154",60.0,Joginder Kumar,06-Mar-2023 05:46 PM,56-59.pdf (422.00 KB),AOC,PWD,2021_PWD_46288_5,AMP TENDER TISSA,Periodic maintenance of Chamba Tissa road KM 32/250 to 62/0 for the year 2020-21,Executive Engineer Tissa,Internal,Sr assistant tissa hdm tissa supdt tissa and AE tissa,Jeet Singh Thakur,24-Apr-2021 05:19 PM,26-Apr-2021 11:30 AM,techsummary_69626.pdf (221.21 KB),AOC,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER THOUGH ONLINE MODE ONLY,PWD,AMP TENDER TISSA,2021_PWD_46288_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic maintenance of Chamba Tissa road KM 32/250 to 62/0 for the year 2020-21,P/L bituminous concrete and C/o PCC drain at RD 56/500 to 59/0,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,tissa,176316.0,NA ,NA ,NA ,Executive Engineer Tissa Division HPPWD Tissa,No ,No,1.0,ICICI BANK,"88,403",No,fixed,,Nil,Nil,Executive Engineer Tissa Division HPPWD Tissa,Executive Engineer Tissa Division HPPWD Tissa,07-Apr-2021 06:00 PM,17-Apr-2021 11:30 AM,07-Apr-2021 06:00 PM,17-Apr-2021 11:00 AM,NA ,NA ,07-Apr-2021 06:00 PM,17-Apr-2021 11:00 AM,26-Apr-2021 11:30 AM,AOC
,,,,,2.0,208037.0,sahab singh thakur,16-Apr-2021 07:54 PM,Rejected-Finance,L2,06-Mar-2023 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,BID SECURITY THROUGH ONLINE MODE ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,LATEST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,PAN CARD AND GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,WORK DONE OF SIMILAR WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,FINANCIAL TURN OVER LAST FIVE YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,FORM 7 AND 8 DULY SIGNED BY THE CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,UNDERTAKING/AFFIDAVIT THAT INFORMATION FURNISHED WITH BID IS CORRECT IN ALL RESPECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"DOCUMENTARY PROOF OF HOT MIXTURE PLANT, PAVER, ROAD ROLLER, A/C, TIPPER ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
