Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,25-Jan-2023 09:00 AM,31-Jan-2023 11:30 AM,25-Jan-2023 09:00 AM,30-Jan-2023 05:00 PM,NA ,NA ,25-Jan-2023 09:00 AM,30-Jan-2023 05:00 PM,07-Feb-2023 11:30 AM,"14,000",No,fixed,,Nil,Nil,Co Playground at Govt Modern Senior Secondary School at Amb SH Cutting leveling of Hill Phase1 Deposit work,Co Playground at Govt Modern Senior Secondary School at Amb SH Cutting leveling of Hill Phase1 Deposit work,As per tender document ,NA ,"7,00,000",Civil Works,road ,Tender,75.0,90.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,1.0,ICICI BANK,350.0,Nil,Nil,No,PWD,Playground at Govt Modern School Amb Under Bharwai,2023_PWD_67590_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Division HPPWD Bharwain,Er. H.L. Sharma,Internal,Proceeding attached,Nitin Chaudhary,06-Feb-2023 06:28 PM,07-Feb-2023 11:30 AM,techsummary_101809.pdf (1544.82 KB),PWD,2023_PWD_67590_1,Playground at Govt Modern School Amb Under Bharwai,Co Playground at Govt Modern Senior Secondary School at Amb SH Cutting leveling of Hill Phase1 Deposit work,31-Mar-2023,"INR 700,000",90.0,Nitin Chaudhary,08-May-2023 06:26 PM,AWNO21305-13dt31032023.PDF (259.00 KB),AW No. 21305-13 dt 31-03-2023,Er. H.L. Sharma,Internal,Proceeding attached,Nitin Chaudhary,13-Feb-2023 03:21 PM,finsummary_101809.pdf (421.76 KB),1,317826,Ajay Kumar,30-Jan-2023 02:01 PM,Rejected-AOC,ok,08-May-2023,Technical,Proceeding attached,Nitin Chaudhary,06-Feb-2023 06:26 PM,technical_101809.pdf,Finance,Proceeding attached,Nitin Chaudhary,13-Feb-2023 03:10 PM,finance_101809.pdf,BOQ Comparative Chart,1.0,317545.0,Ajmer Singh Govt. Contractor,INR,"490,000"
,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,317219,AJAY THAKUR,29-Jan-2023 12:14 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,.pdf,All conditions shown in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,317545,Ajmer Singh Govt. Contractor,29-Jan-2023 05:38 PM,Accepted-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,317419,Arjun Singh Govt Contractor,30-Jan-2023 01:37 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,317335,KARNAIL SINGH,28-Jan-2023 04:24 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,317528,Mahesh Kumar,30-Jan-2023 12:58 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,317427,Narinder Kumar,30-Jan-2023 02:27 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,317793,NITISH,30-Jan-2023 01:27 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,317575,SAHIL THAKUR,29-Jan-2023 07:49 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,317735,SANJAY SHARDA,30-Jan-2023 12:40 PM,Rejected-Finance,Reject,13-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,317685,Sanjeev Kumar Govt. Contractor,30-Jan-2023 11:06 AM,Rejected-Finance,Reject,13-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,317621,VARINDER KUMAR,30-Jan-2023 01:21 PM,Rejected-AOC,ok,08-May-2023,,,,,,,,,,,,,,,,
