Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"Repair, Renovation and beautification of the H.P. State War Memorial at Dharamshala, Distt. Kangra H.P. (Deposit work)","SH - Construction of Martyrs walls, Fallen Solider and Retaining wall etc.) (Balance work)",Please refer Tender documents. ,NA ,"29,55,255",Civil Works,NA ,Tender,75.0,120.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,03-Mar-2023 12:00 PM,13-Mar-2023 11:00 AM,03-Mar-2023 12:00 PM,12-Mar-2023 05:00 PM,NA ,NA ,03-Mar-2023 12:00 PM,12-Mar-2023 05:00 PM,17-Mar-2023 10:15 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,PWD,dshala 15518-50,2023_PWD_70075_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,ICICI BANK,"1,500",Nil,Nil,No,"59,200",No,fixed,,Nil,Nil,1.0,331472.0,Anuj,11-Mar-2023 03:37 PM,Accepted-AOC,L1,24-May-2023,Technical,As per attached document,Jagtar Singh Thakur,14-Mar-2023 06:59 PM,technical_105625.pdf,Finance,ATTACHED,Anil Nagpal,17-Mar-2023 01:18 PM,finance_105625.pdf,BOQ Comparative Chart,1.0,331472.0,Anuj,INR,"3,101,070",PWD,2023_PWD_70075_2,dshala 15518-50,"Repair, Renovation and beautification of the H.P. State War Memorial at Dharamshala, Distt. Kangra H.P. (Deposit work)",Er. J.S. Thakur,Internal,"TA, HDM,Supdt.,DAO",Jagtar Singh Thakur,16-Mar-2023 04:35 PM,17-Mar-2023 10:15 AM,techsummary_105625.pdf (270.25 KB),Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,25-Mar-2023 06:55 PM,finsummary_105625.pdf (576.38 KB),31-Mar-2023,"INR 3,101,070",120.0,Tarlok Dhiman,24-May-2023 04:26 PM,70075_2.pdf (533.00 KB),Shri Anuj Aggarwal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,2.0,332204.0,pardeep kumar,07-Mar-2023 09:10 AM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
