Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,04-Mar-2023 11:35 AM,finsummary_102403.pdf (232.88 KB),PWD,2023_PWD_67967_13,Sangrah 11646-71 dated 31.01.2023-2,"C/O Bridge Stage-I,II and III over Cheavdi Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 0/225 and 0/460 and C/O R/Wall in Wire crate from RD. 0/212.50 to 0/220.00 , 0/230 to 237.50 , 0/447.50 to 0/455 and 0/465",18-Mar-2023,"INR 2,607,894",180.0,Rattan Kumar Sharma,18-Mar-2023 03:24 PM,169.pdf (530.00 KB),AOC,1.0,323404.0,KAPIL DEV,INR,"2,607,894",Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 11:55 AM,technical_102403.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,22-Feb-2023 10:16 AM,22-Feb-2023 10:30 AM,techsummary_102403.pdf (594.63 KB),1.0,322201.0,Ankush kumar,13-Feb-2023 01:55 PM,Rejected-Finance,L3,04-Mar-2023 11:35 AM,Finance,SUMMARY,Rattan Kumar Sharma,02-Mar-2023 03:54 PM,finance_102403.pdf,BOQ Comparative Chart,AOC,"C/O Bridge Stage-I,II and III over Cheavdi Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 0/225 and 0/460 and C/O R/Wall in Wire crate from RD. 0/212.50 to 0/220.00 , 0/230 to 237.50 , 0/447.50 to 0/455 and 0/465","C/O Bridge Stage-I,II and III over Cheavdi Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 0/225 and 0/460 and C/O R/Wall in Wire crate from RD. 0/212.50 to 0/220.00 , 0/230 to 237.50 , 0/447.50 to 0/455 and 0/465",Please refer Tender documents. ,NA ,"28,97,660",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"58,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 10:30 AM,PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_13,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,323404.0,KAPIL DEV,15-Feb-2023 08:38 AM,Accepted-AOC,AOC,18-Mar-2023 03:25 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,323067.0,KEWAL SHARMA,14-Feb-2023 06:03 PM,Rejected-Finance,L4,04-Mar-2023 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,322747.0,lokesh sharma,14-Feb-2023 03:07 PM,Rejected-Finance,L2,04-Mar-2023 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
