Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
18-Feb-2023 06:00 PM,06-Mar-2023 12:30 PM,18-Feb-2023 06:00 PM,06-Mar-2023 10:30 AM,NA ,NA ,18-Feb-2023 06:00 PM,06-Mar-2023 10:30 AM,17-Mar-2023 01:40 PM,1.0,ICICI BANK,1.0,Date Corrigendum-3,Date,,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09.02.2023,2023_HPSEB_69221_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,"Tender for replacement of 08 Nos rotten wooden poles of 22 KV HT Line Rohanda feeder (Dhamashan to Tharu under ESD HPSEBL, Pangna.","Tender for replacement of 08 Nos rotten wooden poles of 22 KV HT Line Rohanda feeder (Dhamashan to Tharu under ESD HPSEBL, Pangna.",Please refer tender document  ,N/A ,"2,50,713",Supply and Erection,Electrical work ,Tender,180.0,30.0,Pangna,175046.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"6,268",No,fixed,,Nil,Nil,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,18-Mar-2023 04:51 PM,finsummary_104461.pdf (394.84 KB),1.0,326404.0,VISHAL ELECTRICAL GOVT CONT,INR,"188,034.75",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_69221_1,184619/2022-23-8389-94 Dated 09.02.2023,"Tender for replacement of 08 Nos rotten wooden poles of 22 KV HT Line Rohanda feeder (Dhamashan to Tharu under ESD HPSEBL, Pangna.",1.0,325528.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,27-Feb-2023 09:54 AM,Rejected-Finance,L2,18-Mar-2023 04:51 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Ravinder Kumar,17-Mar-2023 01:36 PM,17-Mar-2023 01:40 PM,techsummary_104461.pdf (439.82 KB),20-Mar-2023,"INR 250,713",30.0,Sushil Kumar,21-Mar-2023 03:14 PM,146PangnaHT.pdf (2110.00 KB),Awarded to M/S VISHAL ELECTRICAL GOVT CONT because the price-bid was lowest 1 and found to be valid i.e. as per the terms and conditions mentioned in the tender document,Technical,Fulfill all the techno-commercial condition as per bid document,Ravinder Kumar,17-Mar-2023 01:06 PM,technical_104461.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,18-Mar-2023 04:29 PM,finance_104461.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC,,,,,,,,,,,,,,,,2.0,326404.0,VISHAL ELECTRICAL GOVT CONT,25-Feb-2023 05:52 PM,Accepted-AOC,Awarded to M/S VISHAL ELECTRICAL GOVT CONT because the price-bid was lowest 1 and found to be valid i.e. as per the terms and conditions mentioned in the tender document,21-Mar-2023 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
