Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
14-Mar-2023,"INR 2,600,000",180.0,Dalip singh Patial,14-Mar-2023 01:19 PM,AOC10496-10501.pdf (866.00 KB),10496-10501 dt 09.03.2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,08-Mar-2023 03:21 PM,finsummary_102640.pdf (22.52 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman of this office,Dalip singh Patial,22-Feb-2023 02:07 PM,24-Feb-2023 11:30 AM,techsummary_102640.pdf (311.86 KB),PWD,2023_PWD_68155_1,Elect. Division HPPWD Palampur,"C/O Rajeev Gandhi Govt. Engineering College at Nagrota Bagwan, Distt. Kangra, HP (SH- Providing installation, testing and commissioning of One No. Thirteen (13) Passengers elevator in Library and Computer Science Block therein)",Finance,as per uploaded document,Dalip singh Patial,08-Mar-2023 03:19 PM,finance_102640.pdf,BOQ Comparative Chart,1.0,321252.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,INR,"2,594,500",Technical,as per uploaded document,Dalip singh Patial,22-Feb-2023 02:04 PM,technical_102640.pdf,1.0,321252.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,14-Feb-2023 09:29 AM,Accepted-AOC,L1,14-Mar-2023 01:19 PM,AOC,06-Feb-2023 05:00 PM,14-Feb-2023 11:30 AM,06-Feb-2023 05:00 PM,14-Feb-2023 10:00 AM,NA ,NA ,06-Feb-2023 05:00 PM,14-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,Executive Engineer,Elect. Division HPPWD Palampur,"C/O Rajeev Gandhi Govt. Engineering College at Nagrota Bagwan, Distt. Kangra, HP (SH- Providing installation, testing and commissioning of One No. Thirteen (13) Passengers elevator in Library and Computer Science Block therein)","C/O Rajeev Gandhi Govt. Engineering College at Nagrota Bagwan, Distt. Kangra, HP (SH- Providing installation, testing and commissioning of One No. Thirteen (13) Passengers elevator in Library and Computer Science Block therein)",Please refer Tender documents. ,NA ,"26,00,000",Electrical Works,NA ,Tender,120.0,180.0,Kangra at Nagrota Bagwan,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2023_PWD_68155_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"46,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,"1,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321552.0,SHARMA ELECTRICAL CO.,11-Feb-2023 02:29 PM,Rejected-Finance,L2,08-Mar-2023 03:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
