Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
29-Mar-2023,"INR 312,692",30.0,Sanjiv Kumar,29-Mar-2023 11:51 AM,AwardJandpur.PDF (183.00 KB),Xen HPPWD Baijnath,Internal,DAO HDM SupdtGII AE Baijnath,Sanjiv Kumar,29-Mar-2023 11:50 AM,finsummary_104792.pdf (172.57 KB),Xen HPPWD Baijnath,Internal,HDM Supdt AO AE,Sanjiv Kumar,07-Mar-2023 12:12 PM,13-Mar-2023 11:00 AM,techsummary_104792.pdf (193.65 KB),PWD,2023_PWD_69467_1,PWD-BD-TA-2022-23-19728-78,Construction of Jandpur Trehal Road Km 0/0 to 4/0,Technical,Four bidders participated in this work and two bidders found responsive. Hence committee decided to open the financial bid .,Sanjiv Kumar,07-Mar-2023 12:11 PM,technical_104792.pdf,1.0,329809.0,ADARSH SOOD,28-Feb-2023 08:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Mar-2023 12:12 PM,1.0,329460.0,Krishan Kumar,INR,"312,692",Finance,Financial Bid of two bidders open successfully.,Sanjiv Kumar,29-Mar-2023 11:40 AM,finance_104792.pdf,BOQ Comparative Chart,AOC,350.0,EE HPPWD Baijnath,Baijnath,No,PWD,PWD-BD-TA-2022-23-19728-78,2023_PWD_69467_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Jandpur Trehal Road Km 0/0 to 4/0,WBM G-II and CC Pavement both side of 1.00 mtr span culvert at RD 3/840,Please refer Tender documents. ,NA ,"3,63,596",Civil Works - Roads,NA ,Tender,60.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,22-Feb-2023 06:00 PM,01-Mar-2023 11:30 AM,22-Feb-2023 06:00 PM,01-Mar-2023 11:00 AM,NA ,NA ,22-Feb-2023 06:00 PM,01-Mar-2023 11:00 AM,13-Mar-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,1.0,DD - Demand Draft,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,"7,300",No,fixed,,EE HPPWD Baijnath,Baijnath,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328023.0,ankit kumar sharma,23-Feb-2023 12:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Mar-2023 12:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,2.0,FDR - Fixed Deposit,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329460.0,Krishan Kumar,01-Mar-2023 10:42 AM,Accepted-AOC,L1,29-Mar-2023 11:51 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,330057.0,Nardev Singh,28-Feb-2023 05:18 PM,Rejected-Finance,Higher Side,29-Mar-2023 11:50 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
