Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Technical,s,Suresh Kumar Walia,09-Feb-2023 04:21 PM,technical_102259.pdf,Executive Engineer,Internal,"AE, D.A.O., Supdt Gr-II,HDM",Suresh Kumar Walia,09-Feb-2023 04:22 PM,10-Feb-2023 10:30 AM,techsummary_102259.pdf (968.41 KB),1.0,320056.0,Ujjawal Singh,05-Feb-2023 03:19 PM,Rejected-Finance,Lowest 2,04-Mar-2023,Finance,sum,Suresh Kumar Walia,04-Mar-2023 12:34 PM,finance_102259.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"AE, DAO, Supdt, HDM",Suresh Kumar Walia,04-Mar-2023 12:36 PM,finsummary_102259.pdf (190.32 KB),PWD,2023_PWD_67411_29,NAGROTA-AMP-2023-24,Periodic maintenance of link road Pandol Kerta road (HP0406NC0318) (Village Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),31-Mar-2023,"INR 3,508,001",30.0,Suresh Kumar Walia,25-Apr-2023 03:01 PM,Award.pdf (348.00 KB),Award,1.0,320086.0,VP SHARMA,INR,"3,644,758",PWD,NAGROTA-AMP-2023-24,2023_PWD_67411_29,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,500",Nil,Nil,No,01-Feb-2023 05:30 PM,07-Feb-2023 11:30 AM,01-Feb-2023 05:30 PM,07-Feb-2023 09:00 AM,NA ,NA ,01-Feb-2023 05:30 PM,07-Feb-2023 09:00 AM,10-Feb-2023 10:30 AM,Periodic maintenance of link road Pandol Kerta road (HP0406NC0318) (Village Road) under Annual Maintenance Plan for the year 2023-24 in Distt Kangra (HP),"Providing and laying 30mm thick bituminous concrete pavement in Km 0/000 to 1/000, 1/000 to 2/000 and 2/000 to 2/600",Please refer Tender documents. ,NA ,"35,08,001",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o E E HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o E E HP PWD Division Tanda at Nagrota Bagwan,"70,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form
,,,,,,,,,,,,2.0,320086.0,VP SHARMA,04-Feb-2023 11:42 AM,Accepted-AOC,Award,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
