Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,1.0,ICICI BANK,"1,500",Nil,Nil,No,"52,000",No,fixed,,Nil,Nil,PWD,dshala14506-45,2023_PWD_67730_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,31-Jan-2023 09:00 AM,07-Feb-2023 11:30 AM,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,NA ,NA ,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,22-Feb-2023 05:00 PM,Periodic Maintenance of Chetru Maned Passu Dari road under AMP 2023-24 Rural Road in Distt. Kangra H.P.,SH- Providing and laying 30 mm thick Bituminous Concrete laying with Paver Finisher in km 0/000 to 2/000,Please refer Tender documents. ,NA ,"25,96,388",Civil Works - Roads,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Dharmashala,Finance,As per document attached,Jagtar Singh Thakur,23-Feb-2023 12:16 PM,finance_102108.pdf,BOQ Comparative Chart,Technical,AS PER DOCUMENTS ATTACHED,Anil Nagpal,07-Feb-2023 02:02 PM,technical_102108.pdf,Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. Ravi Kant Supdt. Sh. Satish Kumar HDM Sh. Vipan Kumar TA,Jagtar Singh Thakur,22-Feb-2023 04:56 PM,22-Feb-2023 05:00 PM,techsummary_102108.pdf (150.23 KB),1.0,320186.0,rajat thakur govt contractor,04-Feb-2023 07:16 PM,Accepted-AOC,L1,28-Jun-2023,31-Mar-2023,"INR 2,686,950",90.0,Jagtar Singh Thakur,28-Jun-2023 06:59 PM,14.pdf (563.00 KB),Shri Rajat Thakur,1.0,320186.0,rajat thakur govt contractor,INR,"2,686,950",Er. J.S. Thakur,Internal,TA/HDM/Supdt./DAO,Anil Nagpal,23-Feb-2023 08:02 PM,finsummary_102108.pdf (576.42 KB),PWD,2023_PWD_67730_14,dshala14506-45,Periodic Maintenance of Chetru Maned Passu Dari road under AMP 2023-24 Rural Road in Distt. Kangra H.P.
,,.pdf,Contractors registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320286.0,Rohit,05-Feb-2023 03:55 PM,Rejected-Finance,L2,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. for tarring work and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
