Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Arvind Kumar Bhardwaj,Internal,Attached.,Arvind Kumar Bhardwaj,03-Mar-2023 12:33 PM,finsummary_85399.pdf (428.19 KB),03-Mar-2023,"INR 22,022,333",365.0,Arvind Kumar Bhardwaj,03-Mar-2023 12:38 PM,AwardLetterSUB-Teh-PNG.pdf (499.00 KB),Award letter,PWD,2022_PWD_56681_1,KSG-E-21-228964-70DT03.02.22,"Construction of SubTehsil office Building Cum residence at Pangna Distt. Mandi (HP) (SHC/o Building portion i/c W.S. S.I., septic tank,Rain water Harvesting Tank site development)",Executive Engineer HPPWD Karsog,Internal,"Divisional Head Draughtsman, Divisional Accountant, Superintendent Gr-II PMGSY, Superintendent Gr-II",Arvind Kumar Bhardwaj,08-Mar-2022 02:17 PM,09-Mar-2022 11:00 AM,techsummary_85399.pdf (752.25 KB),Technical,Technical Bid Opening Summary,Arvind Kumar Bhardwaj,08-Mar-2022 02:12 PM,technical_85399.pdf,1.0,264677.0,JEET KUMAR GUPTA,17-Feb-2022 08:08 PM,Accepted-AOC,Found L-I,03-Mar-2023 12:39 PM,Finance,Bid opening summary,Arvind Kumar Bhardwaj,09-Mar-2022 12:51 PM,finance_85399.pdf,BOQ Comparative Chart,1.0,264677.0,JEET KUMAR GUPTA,INR,"22,022,333",AOC,1.0,DD - Demand Draft,PWD,KSG-E-21-228964-70DT03.02.22,2022_PWD_56681_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE HPPWD KARSOG,KARSOG,No,EE HPPWD KARSOG,EE HPPWD KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"Construction of SubTehsil office Building Cum residence at Pangna Distt. Mandi (HP) (SHC/o Building portion i/c W.S. S.I., septic tank,Rain water Harvesting Tank site development)","Construction of SubTehsil office Building Cum residence at Pangna Distt. Mandi (HP) (SHC/o Building portion i/c W.S. S.I., septic tank,Rain water Harvesting Tank site development)",Please refer Tender documents. ,NA ,"2,10,03,667",Civil Works - Buildings,NA ,Tender,60.0,365.0,PANGNA,175047.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,"4,20,100",No,fixed,,EE HPPWD KARSOG,KARSOG,11-Feb-2022 10:10 AM,19-Feb-2022 02:00 PM,11-Feb-2022 10:10 AM,18-Feb-2022 10:00 AM,NA ,NA ,11-Feb-2022 10:10 AM,18-Feb-2022 10:00 AM,09-Mar-2022 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,264747.0,RAKESH GOEL,17-Feb-2022 09:47 PM,Rejected-Finance,rate quoted by L-II found higher side,03-Mar-2023 12:33 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar work done in last five years without LD not less than 40 percent of Est. cost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery as per bedding document with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
