EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"26,900",No,fixed,,Nil,Nil,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",500.0,Nil,Nil,No,PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_19,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),C/O link road to village Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 1/010 ) Under Head Black Spot,C/O link road to village Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 1/010 ) Under Head Black Spot,Please refer Tender documents. ,NA ,"13,44,145",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,ICICI BANK,04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 10:30 AM,AOC,Finance,SUMMARY,Rattan Kumar Sharma,02-Mar-2023 03:56 PM,finance_102420.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 11:59 AM,technical_102420.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,21-Feb-2023 03:18 PM,22-Feb-2023 10:30 AM,techsummary_102420.pdf (581.81 KB),1.0,322173.0,Ankush kumar,13-Feb-2023 01:46 PM,Rejected-Finance,L3,04-Mar-2023 11:43 AM,18-Mar-2023,"INR 1,209,730",180.0,Rattan Kumar Sharma,18-Mar-2023 03:28 PM,171.pdf (519.00 KB),AOC,1.0,323371.0,KAPIL DEV,INR,"1,209,730",Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,04-Mar-2023 11:43 AM,finsummary_102420.pdf (215.06 KB),PWD,2023_PWD_67967_19,Sangrah 11646-71 dated 31.01.2023-2,C/O link road to village Pipli Road km. 0/00 to 4/510 (Sh - C/O RCC 4.00 MTR SPAN SLAB CULVERT AT RD. 1/010 ) Under Head Black Spot,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,323371.0,KAPIL DEV,15-Feb-2023 08:37 AM,Accepted-AOC,AOC,18-Mar-2023 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,323141.0,KEWAL SHARMA,14-Feb-2023 06:05 PM,Rejected-Finance,L4,04-Mar-2023 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,322726.0,lokesh sharma,14-Feb-2023 02:34 PM,Rejected-Finance,L2,04-Mar-2023 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
