Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form onlyonline mode through e-payment,PWD,No.PWC-10932-11031 dt 26.9.22,2022_PWD_66091_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,06-Oct-2022 04:00 PM,14-Oct-2022 11:30 AM,06-Oct-2022 04:00 PM,13-Oct-2022 05:00 PM,NA ,NA ,06-Oct-2022 04:00 PM,13-Oct-2022 05:00 PM,19-Dec-2022 11:30 AM,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,500.0,Nil,Nil,No,"Improvement of black spot on Chamba Sahoo road km 0/0 to 16/0 (SH Providing and fixing crash barrier at Rd 5/800 -6/020 ,6/210 to 6/330 , 7/010 to 7/070 , 10/800-10/860 ).","Improvement of black spot on Chamba Sahoo road km 0/0 to 16/0 (SH Providing and fixing crash barrier at Rd 5/800 -6/020 ,6/210 to 6/330 , 7/010 to 7/070 , 10/800-10/860 ).",Please refer Tender documents. ,NA ,"18,47,877",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,"37,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,1.0,307722.0,Asavari Mahajan,INR,"1,825,152",Finance,BOS,Jeet Singh Thakur,23-Jan-2023 03:35 PM,finance_99465.pdf,BOQ Comparative Chart,1.0,307722.0,Asavari Mahajan,12-Oct-2022 10:11 AM,Accepted-AOC,Work completed,09-Mar-2023 04:06 PM,Technical,BOS,Jeet Singh Thakur,14-Dec-2022 12:44 PM,technical_99465.pdf,EE,Internal,AE Superintendent and Senior Assistant,Jeet Singh Thakur,14-Dec-2022 12:46 PM,19-Dec-2022 11:30 AM,techsummary_99465.pdf (227.10 KB),PWD,2022_PWD_66091_1,No.PWC-10932-11031 dt 26.9.22,"Improvement of black spot on Chamba Sahoo road km 0/0 to 16/0 (SH Providing and fixing crash barrier at Rd 5/800 -6/020 ,6/210 to 6/330 , 7/010 to 7/070 , 10/800-10/860 ).",09-Mar-2023,"INR 1,847,877",60.0,Jeet Singh Thakur,09-Mar-2023 04:06 PM,16613.pdf (606.00 KB),"Improvement of black spot on Chamba Sahoo road km 0/0 to 16/0 (SH Providing and fixing crash barrier at Rd 5/800 -6/020 ,6/210 to 6/330 , 7/010 to 7/070 , 10/800-10/860 ).",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,23-Jan-2023 03:38 PM,finsummary_99465.pdf (190.77 KB),AOC
,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,308370.0,Nirut Mehta,13-Oct-2022 04:36 PM,Rejected-Finance,Being 2nd lowest,23-Jan-2023 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in hand certificate /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Crash barrier should be as per IS 1367 and IS 1364 as per MoRTH clause 810 documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
