S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,28-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,28-Jun-2022 10:30 AM,04-Jul-2022 09:00 AM,NA ,NA ,28-Jun-2022 10:30 AM,04-Jul-2022 09:00 AM,13-Jul-2022 10:00 AM,"Job 1 Restoration of Rampur Haroli Jaijon road Km. 0-0 to 23-400 MDR62. Sub Head P.L WMM, DBM, BC, P.L Thermoplastic pain and P.F Cat eye at Km. 19-940 to 20-070.","Job 1 Restoration of Rampur Haroli Jaijon road Km. 0-0 to 23-400 MDR62. Sub Head P.L WMM, DBM, BC, P.L Thermoplastic pain and P.F Cat eye at Km. 19-940 to 20-070.",Please refer to Bidding Documents ,NA ,"17,89,138",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"35,000",No,fixed,,Nil,Nil,PWD,Job 1 Restoration of Rampur Haroli Jaijon road Km.,2022_PWD_62144_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,500.0,Nil,Nil,No,AOC,1.0,289727.0,B T Construction Company,INR,"1,789,138",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,16-Jul-2022 07:04 PM,finance_93721.pdf,BOQ Comparative Chart,1.0,289727.0,B T Construction Company,03-Jul-2022 11:41 AM,Accepted-AOC,ok,24-Mar-2023 05:12 PM,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,05-Jul-2022 09:36 AM,technical_93721.pdf,PWD,2022_PWD_62144_1,Job 1 Restoration of Rampur Haroli Jaijon road Km.,"Job 1 Restoration of Rampur Haroli Jaijon road Km. 0-0 to 23-400 MDR62. Sub Head P.L WMM, DBM, BC, P.L Thermoplastic pain and P.F Cat eye at Km. 19-940 to 20-070.","Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,09-Jul-2022 11:27 AM,13-Jul-2022 10:00 AM,techsummary_93721.pdf (206.36 KB),"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,16-Jul-2022 08:01 PM,finsummary_93721.pdf (406.49 KB),08-Aug-2022,"INR 1,789,138",60.0,Arvind Chaudhary,24-Mar-2023 05:12 PM,Awardleter.pdf (873.00 KB),Award letter,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,AOC,,,,,,,,,,,,2.0,289215.0,Shivalik Construction Company,02-Jul-2022 03:44 PM,Rejected-Finance,Not L-1,16-Jul-2022 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,AOC,,,,,,,,,,,,3.0,289721.0,TC Construction,03-Jul-2022 11:49 AM,Rejected-Finance,Not L-1,16-Jul-2022 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
