Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,26-Feb-2023 10:56 AM,finsummary_101460.pdf (510.94 KB),11-Mar-2023,"INR 1,114,276",60.0,Krishan Bhardwaj,11-Mar-2023 04:58 PM,67306AWARD.pdf (732.00 KB),AWARDATTACHED,PWD,2023_PWD_67306_1,PW-TDD-GA-NIT-22-23-15393-448 DT. 2.1.2023,Restoration of rain damages on Kakkar Sachuhi road km. 0/0 to 8/500,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,03-Feb-2023 01:12 PM,03-Feb-2023 02:00 PM,techsummary_101460.pdf (1957.67 KB),1.0,316435.0,VINOD KUMAR GOVT CONT,INR,"1,169,301",Finance,SUMMARYATTACHED,Krishan Bhardwaj,26-Feb-2023 10:34 AM,finance_101460.pdf,BOQ Comparative Chart,Technical,SUMMARYATTACHED,Krishan Bhardwaj,03-Feb-2023 12:54 PM,technical_101460.pdf,1.0,316436.0,LAKSHAY KUMAR,24-Jan-2023 04:04 PM,Rejected-Finance,L2,26-Feb-2023 10:56 AM,AOC,PWD,PW-TDD-GA-NIT-22-23-15393-448 DT. 2.1.2023,2023_PWD_67306_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Restoration of rain damages on Kakkar Sachuhi road km. 0/0 to 8/500,SH Providing and erecting metal beam crash barriers at RD 5420 to 5520 6100 to 6200 and Construction of Retaining Wall at RD 4370 to 4390 Deposit work BASP,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,75.0,60.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,19-Jan-2023 10:35 AM,27-Jan-2023 11:30 AM,19-Jan-2023 11:00 AM,24-Jan-2023 05:00 PM,NA ,NA ,19-Jan-2023 11:30 AM,24-Jan-2023 05:00 PM,03-Feb-2023 02:00 PM,"23,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,316664.0,NISHA DEVI GOVT CONTRACTOR,24-Jan-2023 03:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Feb-2023 12:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,316651.0,RAJ KUMAR,24-Jan-2023 02:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Feb-2023 12:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,316435.0,VINOD KUMAR GOVT CONT,24-Jan-2023 03:49 PM,Accepted-AOC,WORKAWARD,11-Mar-2023 04:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,AOC
