Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid Opening Summary,Pawan Kumar Garg,18-Jun-2022 01:12 PM,finance_92611.pdf,BOQ Comparative Chart,1.0,285521.0,BISHAMBER SINGH,INR,"1,971,807",Technical,Bid Opening Summary,Duni Chand Chauhan,18-Jun-2022 12:01 PM,technical_92611.pdf,1.0,285521.0,BISHAMBER SINGH,06-Jun-2022 02:06 PM,Accepted-AOC,work complted,13-Mar-2023 03:54 PM,13-Mar-2023,"INR 1,973,133",90.0,Pawan Kumar Garg,13-Mar-2023 03:54 PM,bishember.pdf (412.00 KB),AOC,PAWAN KUMAR,Internal,Ranvier,Duni Chand Chauhan,12-Jul-2022 04:41 PM,finsummary_92611.pdf (2108.34 KB),PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,18-Jun-2022 12:16 PM,18-Jun-2022 12:30 PM,techsummary_92611.pdf (66.34 KB),PWD,2022_PWD_61342_9,PW-RD-GA-T-22611-17DT31-3-22,C/O Link road from Jabbal Pather Nallah to Shagan Teer km 0/0 to 3/0,AOC,EE B AND R DIVISION HPPWD ROHRU,EE B AND R DIVISION HPPWD ROHRU,PWD,PW-RD-GA-T-22611-17DT31-3-22,2022_PWD_61342_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,Yes,"36,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,03-Jun-2022 10:00 AM,10-Jun-2022 11:00 AM,03-Jun-2022 10:00 AM,09-Jun-2022 06:00 PM,NA ,NA ,03-Jun-2022 10:00 AM,09-Jun-2022 06:00 PM,18-Jun-2022 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,C/O Link road from Jabbal Pather Nallah to Shagan Teer km 0/0 to 3/0,(SH- P/L Kharanja stone soling at RD 0/0 to 1/0),Please refer Tender documents. ,NA ,"19,10,433",Civil Works - Roads,NA ,Tender,45.0,90.0,ROHRU,171207.0,NA ,NA ,NA ,EE HPPWD ROHRU,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,286023.0,Geeta Ram Govt. Contractor,09-Jun-2022 12:29 PM,Rejected-Technical,NON RESPONSIVE PHYSICAL SUBMISSION/ORIGNAL DOCUMENT NOT SUBMIT,18-Jun-2022 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,285538.0,PRADEEP RAITKA,06-Jun-2022 02:51 PM,Rejected-Finance,2nd lowest,12-Jul-2022 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compalsory otherwise tender will be rejected,UTR No copy should",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,AOC
