Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
PWD,EE Plp NIT No. 18533-82 dt 28.01.2023,2023_PWD_67935_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Er. B.M. Thakur, EE",Palampur Division HPPWD Palampur,1.0,ICICI BANK,Construction of Indoor Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- P/F Surgical Scrub sink-3 Bay made out of 1.2 MM etc),Construction of Indoor Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- P/F Surgical Scrub sink-3 Bay made out of 1.2 MM etc),Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Buildings,NA ,Tender,75.0,60.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,04-Feb-2023 10:00 AM,10-Feb-2023 11:30 AM,04-Feb-2023 10:00 AM,10-Feb-2023 11:00 AM,NA ,NA ,04-Feb-2023 10:00 AM,10-Feb-2023 11:00 AM,18-Feb-2023 12:00 PM,350.0,Nil,Nil,No,"10,100",No,fixed,,Nil,Nil,1.0,321408.0,Nirmal Associates,INR,"386,000",Finance,Financial Bid opening summary,Manoj Sood,21-Feb-2023 11:58 AM,finance_102330.pdf,BOQ Comparative Chart,1.0,321402.0,DOLORARTZ PRIVATE LIMITED,09-Feb-2023 11:17 PM,Rejected-Technical,Non- Responsive,16-Feb-2023,Technical,Technical bid opening summary,Manoj Sood,16-Feb-2023 02:44 PM,technical_102330.pdf,PWD,2023_PWD_67935_1,EE Plp NIT No. 18533-82 dt 28.01.2023,Construction of Indoor Block in Civil Hospital Palampur Distt. Kangra (HP) (SW- P/F Surgical Scrub sink-3 Bay made out of 1.2 MM etc),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,16-Feb-2023 02:55 PM,18-Feb-2023 12:00 PM,techsummary_102330.pdf (167.75 KB),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE To EE, AE Palampur",Manoj Sood,21-Feb-2023 12:07 PM,finsummary_102330.pdf (213.91 KB),02-Mar-2023,"INR 504,000",60.0,Manoj Sood,04-Sep-2023 02:15 PM,20115.pdf (267.00 KB),AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321408.0,Nirmal Associates,10-Feb-2023 07:26 AM,Accepted-AOC,AOC,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,321410.0,Rakesh Kumar Govt.Contractor,10-Feb-2023 08:06 AM,Rejected-Finance,Bidder is found L2,21-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
