S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"Job 2 Construction of New link road from Lalsingi Baba Beli Ram to Jhalera Near brick kiln from km. 0-0 to 4-170 Sub Head Formation Cutting 5-7 mtr. wide including Retaining wall , Breast wall and toe wall, Cross drainage work and Cement Concrete","Job 2 Construction of New link road from Lalsingi Baba Beli Ram to Jhalera Near brick kiln from km. 0-0 to 4-170 Sub Head Formation Cutting 5-7 mtr. wide including Retaining wall , Breast wall and toe wall, Cross drainage work and Cement Concrete",Please refer to Bidding Documents ,NA ,"3,15,35,132",Civil Works - Roads,NA ,Tender,75.0,365.0,Una,174303.0,NA ,NA ,NA ,"Superintending Engineer, 15th Circle, HPPWD Una",No ,No,PWD,Job 2 Construction of New link road from Lalsingi,2023_PWD_67651_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"6,31,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,30-Jan-2023 10:00 AM,10-Feb-2023 11:00 AM,30-Jan-2023 10:30 AM,10-Feb-2023 09:00 AM,NA ,NA ,30-Jan-2023 10:30 AM,10-Feb-2023 09:00 AM,22-Feb-2023 11:30 AM,"Superintending Engineer, 15th Circle, HPPWD Una","Superintending Engineer, 15th Circle, HPPWD Una","Superintending Engineer, 15th Circle HPPWD Una",Internal,"Supdt. Gr-II Works Circle Una, Supdt.Gr-I Circle Una, A.E.Design Circle Una, DAO Una Divn. E.E. Una",Arvind Chaudhary,15-Feb-2023 05:30 PM,22-Feb-2023 11:30 AM,techsummary_101941.pdf (2341.80 KB),PWD,2023_PWD_67651_1,Job 2 Construction of New link road from Lalsingi,"Job 2 Construction of New link road from Lalsingi Baba Beli Ram to Jhalera Near brick kiln from km. 0-0 to 4-170 Sub Head Formation Cutting 5-7 mtr. wide including Retaining wall , Breast wall and toe wall, Cross drainage work and Cement Concrete",22-Mar-2023,"INR 31,535,132",365.0,Arvind Chaudhary,13-Apr-2023 02:43 PM,Awardletter.pdf (1049.00 KB),Awardletter,"Superintending Engineer, 15th Circle, HPPWD Una",Internal,"Supdt Gr.II Circle Una, CHD Circle Una, DAO Una Divn. Supdt Gr I Circle Una, AE Design Circle Una and EE Una",Arvind Chaudhary,22-Feb-2023 05:58 PM,finsummary_101941.pdf (497.97 KB),1.0,320087.0,Ashwani Kumar Govt Contractor,09-Feb-2023 09:09 PM,Rejected-Finance,Not L-1,22-Feb-2023,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,10-Feb-2023 04:18 PM,technical_101941.pdf,Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,22-Feb-2023 05:35 PM,finance_101941.pdf,BOQ Comparative Chart,1.0,321390.0,M/S R.R.Builders,INR,"22,074,592"
2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321219.0,B T Construction Company,10-Feb-2023 07:19 AM,Rejected-Finance,Not L-1,22-Feb-2023,,,,,,,,,,,,,,,,
,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,321280.0,ganesh,09-Feb-2023 05:57 PM,Rejected-Finance,Not L-1,22-Feb-2023,,,,,,,,,,,,,,,,
,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,321390.0,M/S R.R.Builders,09-Feb-2023 09:40 PM,Accepted-AOC,ok,13-Apr-2023,,,,,,,,,,,,,,,,
,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,319598.0,SUBHASH CHAND,09-Feb-2023 08:42 PM,Rejected-Finance,Not L-1,22-Feb-2023,,,,,,,,,,,,,,,,
,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,320831.0,SURESH PAL,09-Feb-2023 06:41 PM,Rejected-Technical,As per Evaluation Bids,15-Feb-2023,,,,,,,,,,,,,,,,
,,,,.pdf,"Experience in works of a similar nature and size for each of the last five years, and details of wor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Evidence of ownership of major items of construction equipment named in Clause 4.4B (b) (i) of ITB o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Details of the technical personnel proposed to be employed for the Contract having the qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Reports on the financial standing of the Bidder, such as profit and loss statements and auditors re",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
