Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
HP SIDC Limited,Job No. 8,2023_SIDC_67043_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Shimla,"5,900",Nil,Nil,No,1.0,ICICI BANK,05-Jan-2023 11:00 AM,20-Jan-2023 11:00 AM,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,NA ,NA ,05-Jan-2023 11:00 AM,19-Jan-2023 05:00 PM,07-Feb-2023 11:00 AM,"Providing and laying water distribution line and sewerage and ETP line for plot No. 1, plot No. 92 to plot No. 107 at Ind. Area Kandrori Distt. Kangra (HP).","Providing and laying water distribution line and sewerage and ETP line for plot No. 1, plot No. 92 to plot No. 107 at Ind. Area Kandrori Distt. Kangra (HP).",Please refer Tender documents. ,NA ,"1,13,98,976",Civil Works,NA ,Tender,120.0,180.0,Kandrori,176402.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,Corrigendum,Date,,"2,28,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),AOC,1.0,315877.0,Ravinder Kumar,INR,"13,010,244",25-Feb-2023,"INR 13,010,244",180.0,Sushant Singh Negi,01-Mar-2023 12:51 PM,ravinderkumar.pdf (3711.00 KB),Award letter,HP SIDC Limited,2023_SIDC_67043_1,Job No. 8,"Providing and laying water distribution line and sewerage and ETP line for plot No. 1, plot No. 92 to plot No. 107 at Ind. Area Kandrori Distt. Kangra (HP).",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,14-Feb-2023 12:04 PM,finsummary_101067.pdf (31.15 KB),Finance,Financial summary,Sushant Singh Negi,14-Feb-2023 12:00 PM,finance_101067.pdf,BOQ Comparative Chart,1.0,315899.0,AMIT CHOUDHARY,18-Jan-2023 04:27 PM,Rejected-Finance,Fourth lowest bidder,14-Feb-2023 12:04 PM,Technical,Tender Summary,Sushant Singh Negi,06-Feb-2023 02:36 PM,technical_101067.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,06-Feb-2023 02:39 PM,07-Feb-2023 11:00 AM,techsummary_101067.pdf (443.43 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,316321.0,MOHAMMAD HAFIZ,19-Jan-2023 04:46 PM,Rejected-Finance,Second lowest bidder,14-Feb-2023 12:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,315890.0,Rahul Sharma,19-Jan-2023 01:35 PM,Rejected-Finance,Fifth lowest bidder,14-Feb-2023 12:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,315877.0,Ravinder Kumar,19-Jan-2023 10:34 AM,Accepted-AOC,AOC,01-Mar-2023 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,315846.0,Saravjeet,12-Jan-2023 02:39 PM,Rejected-Technical,Not qualified in the bid capacity,06-Feb-2023 02:39 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,316280.0,SHIV KANT PRASHAR,19-Jan-2023 12:12 PM,Rejected-Finance,Third lowest bidder,14-Feb-2023 12:04 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details/ affidavit of machineries equipments/ skilled engineers/ technical staff,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
