Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,14-Mar-2023 03:23 PM,14-Mar-2023 03:25 PM,techsummary_106061.pdf (316.46 KB),1.0,333375.0,akhilandco@gmail.com,12-Mar-2023 03:50 PM,Rejected-Finance,Reject,14-Mar-2023 04:02 PM,Finance,Financial Bid OPening Summary,Ashish Rana,14-Mar-2023 03:55 PM,finance_106061.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,14-Mar-2023 03:20 PM,technical_106061.pdf,15-Mar-2023,"INR 6,226,195",30.0,Ashish Rana,22-Mar-2023 04:21 PM,AOC.pdf (705.00 KB),Award to Contractor,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2023_HPIPH_70373_1,NHN-SMROO-722- 19097-19177 dt 06-03-2023,Providing Sewerage with sewerage treatment plant for Trilokpur Kheri and Johron are in Tehsil Nahan,1.0,334320.0,BHAW SINGH KAPOOR CONTRACTOR,INR,"6,010,000",ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,14-Mar-2023 04:02 PM,finsummary_106061.pdf (169.82 KB),AOC,Executive Engineer Jal shakti Division Nahan,Executive Engineer Jal shakti Division Nahan,"95,500",Yes,fixed,,Executive Engineer Jal shakti Division Nahan,Nahan,1.0,DD - Demand Draft,Providing Sewerage with sewerage treatment plant for Trilokpur Kheri and Johron are in Tehsil Nahan,Providing additional works for STP Trilokpur,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,30.0,KalaAmb,173001.0,NA ,NA ,NA ,Nahan,No ,No,800.0,Executive Engineer Jal shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest money as mentioned in NIT,07-Mar-2023 05:00 PM,14-Mar-2023 11:30 AM,07-Mar-2023 05:00 PM,14-Mar-2023 11:00 AM,NA ,NA ,07-Mar-2023 05:00 PM,14-Mar-2023 11:00 AM,14-Mar-2023 03:25 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 19097-19177 dt 06-03-2023,2023_HPIPH_70373_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,2.0,334320.0,BHAW SINGH KAPOOR CONTRACTOR,13-Mar-2023 09:16 PM,Accepted-AOC,AOC,22-Mar-2023 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,334571.0,M/s Sharma Electrical,13-Mar-2023 02:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Mar-2023 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4.0,334560.0,Roshan Chauhan,13-Mar-2023 03:41 PM,Rejected-Finance,Reject,14-Mar-2023 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of work sewerage and STP as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
