Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
27-Mar-2023,"INR 79,597,968",548.0,Dev Raj,03-Apr-2023 05:43 PM,g.pdf (1252.00 KB),AWARD,Er.S.P.Dhiman EE,Internal,DAOHDMSUPDT,SHASHI PAL,20-Oct-2022 05:41 PM,finsummary_98370.pdf (398.89 KB),Er.S.P.Dhiman EE,Internal,DAOHDMSUPDT,SHASHI PAL,10-Oct-2022 05:11 PM,11-Oct-2022 11:00 AM,techsummary_98370.pdf (534.23 KB),PWD,2022_PWD_65333_1,PW/BGN/2022-23-7581-7620 dated 16.09.2022,MT on Link road Olinda to Bohru from km0000 to km 11090 under NABARD RIDF XXVII SH Formation cutting Co Retaining wall CD work CC Pavement PL GSB WMM PL Bituminous concrete Road side Drain Parapets PF Kilometer stone Sign Boards in Km 0000 to 11090,1.0,306501.0,ganesh,INR,"79,597,968",Finance,financialbidopeningsummary,SHASHI PAL,20-Oct-2022 05:36 PM,finance_98370.pdf,BOQ Comparative Chart,Technical,bidtechsummary,SHASHI PAL,10-Oct-2022 05:08 PM,technical_98370.pdf,1.0,306501.0,ganesh,06-Oct-2022 01:32 PM,Accepted-AOC,L1,03-Apr-2023,MT on Link road Olinda to Bohru from km0000 to km 11090 under NABARD RIDF XXVII SH Formation cutting Co Retaining wall CD work CC Pavement PL GSB WMM PL Bituminous concrete Road side Drain Parapets PF Kilometer stone Sign Boards in Km 0000 to 11090,MT on Link road Olinda to Bohru from km0000 to km 11090 under NABARD RIDF XXVII SH Formation cutting Co Retaining wall CD work CC Pavement PL GSB WMM PL Bituminous concrete Road side Drain Parapets PF Kilometer stone Sign Boards in Km 0000 to 11090,Please refer Tender documents. ,NA ,"9,95,54,756",Civil Works - Roads,NA ,Tender,75.0,548.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),22-Sep-2022 11:00 AM,07-Oct-2022 11:00 AM,22-Sep-2022 11:30 AM,06-Oct-2022 05:00 PM,NA ,NA ,22-Sep-2022 11:30 AM,06-Oct-2022 05:00 PM,11-Oct-2022 11:00 AM,"5,000",Nil,Nil,No,"19,91,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,PWD,PW/BGN/2022-23-7581-7620 dated 16.09.2022,2022_PWD_65333_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,305928.0,M/S R.R.Builders,06-Oct-2022 12:56 PM,Rejected-Finance,L2,20-Oct-2022,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant given in bidding document with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
