Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
31-Mar-2023,"INR 1,101,291",60.0,Sanjiv Kumar,31-Mar-2023 12:48 PM,awardresthouse.PDF (218.00 KB),Xen HPPWD Baijnath,Internal,"HDM, DAO SupdtGII AE Baijnath",Sanjiv Kumar,31-Mar-2023 12:47 PM,finsummary_102481.pdf (152.58 KB),Xen HPPWD Baijnath,Internal,HDM Supdt GII Divisional Account Officer AE Baijnath,Sanjiv Kumar,15-Feb-2023 04:47 PM,20-Feb-2023 11:00 AM,techsummary_102481.pdf (696.27 KB),PWD,2023_PWD_68033_1,PWD-BD-TA-2022-23-18896-945,A/R and M/O HPPWD Rest House at Baijnath HPPWD Baijnath,Technical,two bidders participated in this work and found responsive.,Sanjiv Kumar,15-Feb-2023 04:45 PM,technical_102481.pdf,1.0,321614.0,Shalabh Awasthi,11-Feb-2023 11:54 AM,Accepted-AOC,Lower Side,31-Mar-2023 12:48 PM,1.0,321614.0,Shalabh Awasthi,INR,"1,101,291",Finance,Financial bid open successfully,Sanjiv Kumar,31-Mar-2023 12:45 PM,finance_102481.pdf,BOQ Comparative Chart,AOC,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,PWD,PWD-BD-TA-2022-23-18896-945,2023_PWD_68033_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,"22,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,A/R and M/O HPPWD Rest House at Baijnath HPPWD Baijnath,Water supply and sanitary installation,Please refer Tender documents. ,NA ,"10,62,511",Civil Works - Buildings,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,04-Feb-2023 12:00 PM,13-Feb-2023 11:30 AM,04-Feb-2023 12:30 PM,13-Feb-2023 11:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,13-Feb-2023 11:00 AM,20-Feb-2023 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321929.0,VIKAS RANA GOVT. CONTRACTOR,12-Feb-2023 04:59 PM,Rejected-Finance,Higher Side,31-Mar-2023 12:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done similar nature, work in hand as mentioned in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
