Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,13-Mar-2023 04:41 PM,finsummary_105172.pdf (162.31 KB),24-Mar-2023,"INR 1,039,807",90.0,Manoj Sood,25-Mar-2023 05:09 PM,21361.pdf (279.00 KB),AOC,PWD,2023_PWD_69722_1,EE Plp NIT No. 19740-89 dt 22.02.2023,"C/o link road Bodhal Pahra to Naga Baba Km 0/00 to 0/500 (SW - C/o R/Wall at RD 0/165 to 0/185 (LHS), RD 0/185 to 1/230 (RHS), C.C Pavement at RD 0/205 to 0/305 and 1.00 mtrs Span Culvert at RD 0/205 (Deposit Work)","Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,06-Mar-2023 05:21 PM,07-Mar-2023 11:30 AM,techsummary_105172.pdf (202.85 KB),1.0,330294.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,INR,"884,892.64",Finance,Financial bid opening summary,Manoj Sood,13-Mar-2023 04:36 PM,finance_105172.pdf,BOQ Comparative Chart,Technical,Technical bid opening summary,Manoj Sood,06-Mar-2023 05:19 PM,technical_105172.pdf,1.0,330759.0,GIAN CHAND SHARMA,03-Mar-2023 11:04 AM,Rejected-Finance,Bidder is found L3,13-Mar-2023 04:41 PM,AOC,27-Feb-2023 10:00 AM,04-Mar-2023 11:30 AM,27-Feb-2023 10:00 AM,04-Mar-2023 11:00 AM,NA ,NA ,27-Feb-2023 10:00 AM,04-Mar-2023 11:00 AM,07-Mar-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,ICICI BANK,"C/o link road Bodhal Pahra to Naga Baba Km 0/00 to 0/500 (SW - C/o R/Wall at RD 0/165 to 0/185 (LHS), RD 0/185 to 1/230 (RHS), C.C Pavement at RD 0/205 to 0/305 and 1.00 mtrs Span Culvert at RD 0/205 (Deposit Work)","C/o link road Bodhal Pahra to Naga Baba Km 0/00 to 0/500 (SW - C/o R/Wall at RD 0/165 to 0/185 (LHS), RD 0/185 to 1/230 (RHS), C.C Pavement at RD 0/205 to 0/305 and 1.00 mtrs Span Culvert at RD 0/205 (Deposit Work)",Please refer Tender documents. ,NA ,"10,39,807",Civil Works - Roads,NA ,Tender,75.0,90.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,"20,800",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,"Dr. S.K.Walia, EE",Palampur Division HP.PWD Palampur,PWD,EE Plp NIT No. 19740-89 dt 22.02.2023,2023_PWD_69722_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330294.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,04-Mar-2023 09:59 AM,Accepted-AOC,AOC,25-Mar-2023 05:10 PM,AOC,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,331388.0,SUNIL KUMAR,04-Mar-2023 10:34 AM,Rejected-Finance,Bidder is found L2,13-Mar-2023 04:41 PM,AOC,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,331206.0,Sunil Walia,03-Mar-2023 02:39 PM,Rejected-Finance,Bidder is found L4,13-Mar-2023 04:41 PM,AOC,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
