Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
590.0,Nil,Nil,No,1.0,ICICI BANK,"20,501",No,fixed,,Nil,Nil,Tender for prov LT Extension to left out houses from existing various s/stn in electrical sub-divison under ESD HPSEBL Pangna,Tender for prov LT Extension to left out houses from existing various s/stn in electrical sub-divison under ESD HPSEBL Pangna,Please refer tender document  ,N/A ,"8,20,047",Supply and Erection,Electrical work ,Tender,180.0,90.0,pangna,175046.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,20-Mar-2023 06:00 PM,27-Mar-2023 12:30 PM,21-Mar-2023 05:00 PM,27-Mar-2023 10:30 AM,NA ,NA ,21-Mar-2023 05:00 PM,27-Mar-2023 10:30 AM,27-Mar-2023 02:05 PM,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-9127-32 Dated 14-03-2023,2023_HPSEB_71245_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC,1.0,338537.0,JAGDISH KUMAR,26-Mar-2023 11:00 PM,Rejected-Finance,"The Three contractors were in L1 and award was made using a draw, the draw goes in favor of M/S Visha Electrical in the presence of all three contractors and committee members.",29-Mar-2023 10:53 AM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,27-Mar-2023 02:03 PM,27-Mar-2023 02:05 PM,techsummary_107288.pdf (401.21 KB),29-Mar-2023,"INR 820,045",90.0,Sushil Kumar,29-Mar-2023 03:18 PM,award155LTPangna.pdf (1881.00 KB),"The Three contractors were in L1 and award was made using a draw, the draw goes in favor of M/S Vishal Electrical in the presence of all three contractors and committee members.",Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,27-Mar-2023 02:02 PM,technical_107288.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,29-Mar-2023 10:25 AM,finance_107288.pdf,BOQ Comparative Chart,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,29-Mar-2023 10:53 AM,finsummary_107288.pdf (492.84 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_71245_1,184619/2022-23-9127-32 Dated 14-03-2023,Tender for prov LT Extension to left out houses from existing various s/stn in electrical sub-divison under ESD HPSEBL Pangna,1.0,338026.0,VISHAL ELECTRICAL GOVT CONT,INR,"615,035.25",AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC,2.0,338566.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,27-Mar-2023 09:19 AM,Rejected-Finance,"The Three contractors were in L1 and award was made using a draw, the draw goes in favor of M/S Visha Electrical in the presence of all three contractors and committee members.",29-Mar-2023 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,AOC,3.0,338026.0,VISHAL ELECTRICAL GOVT CONT,24-Mar-2023 06:52 PM,Accepted-AOC,"The Three contractors were in L1 and award was made using a draw, the draw goes in favor of M/S Vishal Electrical in the presence of all three contractors and committee members.",29-Mar-2023 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
