Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
"Er. I.S.Uttam, S.E",Internal,"Supdt (Budget), AE(D) 5th Circle, DAO Palampur, EE(D) 5th Circle, EE Palampur",Manoj Sood,06-Mar-2023 02:42 PM,finsummary_102343.pdf (179.98 KB),25-Mar-2023,"INR 68,665,694",540.0,Manoj Sood,03-Apr-2023 01:27 PM,67943.pdf (254.00 KB),AOC,PWD,2023_PWD_67943_1,SE Plp NIT No. 13935-45 dt 30.01.2023,"Up-Grad of Kulani Chandpur Bharmat Colony Kamakhya Mandir NH Holta Simblu Patti Km 0/00 to 9/300 (SH- Imp. of road, P/Places, R/Walls, B/walls, C.D Work, GSB, WBM-II, WBM-III, Tarring, CC Pavement, drain, parapets and road furniture i/c 5 years r.m.)","Er. I.S.Uttam, S.E",Internal,"Supdt(Budget), AE(D) 5th Circle, DAO Palampur, EE Palampur, EE(D) 5th Circle, Palampur",Manoj Sood,21-Feb-2023 10:37 AM,25-Feb-2023 03:30 PM,techsummary_102343.pdf (864.14 KB),Technical,Technical bid opening summary,Manoj Sood,21-Feb-2023 10:31 AM,technical_102343.pdf,1.0,321417.0,M/s Kamala Enterprises,16-Feb-2023 08:58 AM,Rejected-Finance,Bidder is found L2,06-Mar-2023,1.0,322150.0,Sanjeev,INR,"54,621,657",Finance,Financial bid opening summary,Manoj Sood,06-Mar-2023 02:36 PM,finance_102343.pdf,BOQ Comparative Chart,1.0,ICICI BANK,PWD,SE Plp NIT No. 13935-45 dt 30.01.2023,2023_PWD_67943_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6,"Up-Grad of Kulani Chandpur Bharmat Colony Kamakhya Mandir NH Holta Simblu Patti Km 0/00 to 9/300 (SH- Imp. of road, P/Places, R/Walls, B/walls, C.D Work, GSB, WBM-II, WBM-III, Tarring, CC Pavement, drain, parapets and road furniture i/c 5 years r.m.)","Up-Grad of Kulani Chandpur Bharmat Colony Kamakhya Mandir NH Holta Simblu Patti Km 0/00 to 9/300 (SH- Imp. of road, P/Places, R/Walls, B/walls, C.D Work, GSB, WBM-II, WBM-III, Tarring, CC Pavement, drain, parapets and road furniture i/c 5 years r.m.)",Please refer Tender documents. ,NA ,"6,86,65,694",Civil Works - Roads,NA ,Tender,75.0,540.0,Palampur,176061.0,NA ,NA ,NA ,"5th Circle, HP.PWD Palampur",No ,No,"Er. I.S. Uttam, SE","5th Circle, HP.PWD Palampur","13,74,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,06-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,25-Feb-2023 03:30 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324372.0,M/S YUDHBIR SINGH RAJPUT&SONS,16-Feb-2023 04:13 PM,Rejected-Finance,Bidder is found L3,06-Mar-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as per Section -1 Point No. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,322150.0,Sanjeev,13-Feb-2023 12:51 PM,Accepted-AOC,AOC,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per section -2 clause-16.1(on line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q. 1-Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.3.1) (1.3.2) (1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1. as per section -3 ( 1.4) alongwith documents i.e. Bill, R.C etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.6) (1.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section -3 ( 1.2) (1.7) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.1. as per section-2 clause ( 4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. G.S.T., PAN, EPF , Address of Bank etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
