Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
10-Feb-2023,"INR 2,469,410",120.0,Munish Bhopal,02-Mar-2023 02:02 PM,AOC.pdf (607.00 KB),work awarded to M/s S.S Consultants being L1 firm,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr asstt JDM,Munish Bhopal,30-Aug-2022 12:35 PM,finsummary_95231.pdf (298.26 KB),Er Sanjay Kumar SE,Internal,EE Mandi EO Sr Asstt JDM,Munish Bhopal,25-Aug-2022 03:55 PM,25-Aug-2022 04:00 PM,techsummary_95231.pdf (698.21 KB),PWD,2022_PWD_63176_1,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,"Supplying, Installation, Testing and Commissioning of Fire Hydrant System at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu H.P",1.0,294131.0,SS CONSULTANTS,INR,"2,469,410",Finance,FINSUMMARY,Munish Bhopal,30-Aug-2022 12:22 PM,finance_95231.pdf,BOQ Comparative Chart,Technical,techsummary,Munish Bhopal,25-Aug-2022 03:46 PM,technical_95231.pdf,1.0,294418.0,Koushal General Traders,05-Aug-2022 08:07 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,25-Aug-2022 03:55 PM,AOC,PWD,PW/MED/TA/NIT/ e-notice/22-23-3116-26 dt 21.07.22,2022_PWD_63176_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","58,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER AND EARNEST MONEY INDICATED IN SCHEDULE F,","1,500",Nil,Nil,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,29-Jul-2022 10:00 AM,05-Aug-2022 11:00 AM,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,NA ,NA ,29-Jul-2022 10:00 AM,05-Aug-2022 10:00 AM,25-Aug-2022 04:00 PM,"Supplying, Installation, Testing and Commissioning of Fire Hydrant System at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu H.P","Supplying, Installation, Testing and Commissioning of Fire Hydrant System at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu H.P",PLEASE REFER TO BID DOC ,NA ,"33,98,032",Electrical Works,NA ,Tender,75.0,60.0,Dhalpur,175101.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294131.0,SS CONSULTANTS,04-Aug-2022 06:54 PM,Accepted-AOC,work awarded being L1 firm,02-Mar-2023 02:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM of Fire Hydrant system as per approved make in BOQ or authorized agency of approved OEM,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,293892.0,TARUN FIRE SYSTEM,01-Aug-2022 10:20 PM,Rejected-Finance,rejected being L2 firm,30-Aug-2022 12:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted / non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder Address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
