EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"78,300",No,fixed,,Nil,Nil,19-Mar-2021 02:00 PM,25-Mar-2021 12:30 PM,19-Mar-2021 02:00 PM,24-Mar-2021 05:00 PM,NA ,NA ,19-Mar-2021 02:00 PM,24-Mar-2021 05:00 PM,08-Apr-2021 10:00 AM,"2,000",Nil,Nil,No,PWD,TA-2021-17511-17610dt9-3-2021,2021_PWD_45756_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE Shillai,Executive Engineer HPPWD Shillai,Periodical Maintenance of Millah to Gundah road under annual Maintenance plan for the year 2020-2021 for rural road (non PMGSY ) (sh- Repair of pot holes and providing 10cm wide road marking and 30m thick bituminous concrete in km 0/0 to 2/0,Periodical Maintenance of Millah to Gundah road under annual Maintenance plan for the year 2020-2021 for rural road (non PMGSY ) (sh- Repair of pot holes and providing 10cm wide road marking and 30m thick bituminous concrete in km 0/0 to 2/0,please refer to tender document ,NA ,,Civil Works - Roads,NA ,Rate Contract,120.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,ICICI BANK,AOC,1.0,205588.0,M/S CHAUHAN CONSTRUCTION,24-Mar-2021 09:46 AM,Accepted-AOC,AOC,09-Mar-2023 12:49 PM,Technical,technical summary,Pramod Upreti,07-Apr-2021 04:51 PM,technical_68881.pdf,1.0,205588.0,M/S CHAUHAN CONSTRUCTION,INR,"4,342,577",Finance,financial summary,Pramod Upreti,13-May-2021 04:15 PM,finance_68881.pdf,BOQ Comparative Chart,PWD,2021_PWD_45756_6,TA-2021-17511-17610dt9-3-2021,Periodical Maintenance of Millah to Gundah road under annual Maintenance plan for the year 2020-2021 for rural road (non PMGSY ) (sh- Repair of pot holes and providing 10cm wide road marking and 30m thick bituminous concrete in km 0/0 to 2/0,EE Shillai,Internal,"AE Shillai,Supdt. HDM, TA",Pramod Upreti,07-Apr-2021 05:38 PM,08-Apr-2021 10:00 AM,techsummary_68881.pdf (1182.03 KB),EE Shillai,Internal,"AE shillai, HDM, Supdt.",Pramod Upreti,13-May-2021 04:20 PM,finsummary_68881.pdf (312.78 KB),09-Mar-2023,"INR 4,342,577",60.0,Narender verma,09-Mar-2023 12:48 PM,45756-6.pdf (1114.00 KB),Periodical Maintenance of Millah to Gundah road under annual Maintenance plan for the year 2020-2021 for rural road (non PMGSY ) (sh- Repair of pot holes and providing 10cm wide road marking and 30m t,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,2.0,ICICI NEFT/RTGS,AOC,2.0,205119.0,Nakul Chauhan,22-Mar-2021 09:53 PM,Rejected-Finance,Not lowest,13-May-2021 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr No 6.19,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Refer clause no 18 submit legal proof of owner, Technical Staff As per clause 32",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
