Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,ICICI BANK,"10,207",No,fixed,,Nil,Nil,14-Feb-2023 05:00 PM,20-Feb-2023 12:30 PM,14-Feb-2023 05:00 PM,20-Feb-2023 10:30 AM,NA ,NA ,14-Feb-2023 05:00 PM,20-Feb-2023 10:30 AM,22-Feb-2023 04:30 PM,"Tender for replacement of 09 Nos rotten wooden poles of 22 KV HT Line Batalabehal-Seri feeder from Batalabehal to tapping point Chedu under ESD HPSEBL, Seri.","Tender for replacement of 09 Nos rotten wooden poles of 22 KV HT Line Batalabehal-Seri feeder from Batalabehal to tapping point Chedu under ESD HPSEBL, Seri.",Please refer tender document  ,N/A ,"4,08,292",Supply and Erection,Electrical work ,Tender,180.0,30.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09-02-2023,2023_HPSEB_68829_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,590.0,Nil,Nil,No,AOC,1.0,325499.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,19-Feb-2023 08:19 PM,Rejected-Finance,L3,01-Mar-2023 12:20 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,22-Feb-2023 04:25 PM,22-Feb-2023 04:30 PM,techsummary_103810.pdf (316.83 KB),01-Mar-2023,"INR 408,292",30.0,Sushil Kumar,01-Mar-2023 12:28 PM,award145HTSeri.pdf (1779.00 KB),"Awarded to M/S ESS.PEE, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) (L-1) Which found lowest",Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,22-Feb-2023 04:23 PM,technical_103810.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,01-Mar-2023 12:15 PM,finance_103810.pdf,BOQ Comparative Chart,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,01-Mar-2023 12:20 PM,finsummary_103810.pdf (435.89 KB),1.0,325437.0,SATPAL,INR,"306,219",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68829_1,184619/2022-23-8389-94 Dated 09-02-2023,"Tender for replacement of 09 Nos rotten wooden poles of 22 KV HT Line Batalabehal-Seri feeder from Batalabehal to tapping point Chedu under ESD HPSEBL, Seri.",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC,2.0,325437.0,SATPAL,19-Feb-2023 05:30 PM,Accepted-AOC,"Awarded to M/S ESS.PEE, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) (L-1) Which found lowest",01-Mar-2023 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,AOC,3.0,325151.0,VISHAL ELECTRICAL GOVT CONT,18-Feb-2023 03:23 PM,Rejected-Finance,L2,01-Mar-2023 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
