Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
500.0,Nil,Nil,No,"Construction of Govt. Sr. Sec. School at Dadh in Tehsil Palampur Distt. Kangra (HP) (SW- Balance work for C/O Slab, Painting, Plastering, P/F Doors and Windows and Flooring work).","Construction of Govt. Sr. Sec. School at Dadh in Tehsil Palampur Distt. Kangra (HP) (SW- Balance work for C/O Slab, Painting, Plastering, P/F Doors and Windows and Flooring work).",Please refer Tender documents. ,NA ,"11,61,407",Civil Works - Buildings,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,Palampur Division HPPWD Palampur,No ,No,"23,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,ICICI BANK,21-Jul-2022 10:00 AM,26-Jul-2022 11:30 AM,21-Jul-2022 10:00 AM,26-Jul-2022 11:00 AM,NA ,NA ,21-Jul-2022 10:00 AM,26-Jul-2022 11:00 AM,29-Jul-2022 04:00 PM,PWD,EE Palampur NIT No. 7498-597 dt. 7.7.2022,2022_PWD_62917_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Er. B.M. Thakur, EE",Palampur Division HPPWD Palampur,AOC,"Er. B.M.Thakur, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Gopalpur",Manoj Sood,29-Jul-2022 12:38 PM,29-Jul-2022 04:00 PM,techsummary_94880.pdf (165.07 KB),PWD,2022_PWD_62917_1,EE Palampur NIT No. 7498-597 dt. 7.7.2022,"Construction of Govt. Sr. Sec. School at Dadh in Tehsil Palampur Distt. Kangra (HP) (SW- Balance work for C/O Slab, Painting, Plastering, P/F Doors and Windows and Flooring work).",16-Aug-2022,"INR 1,161,407",90.0,Manoj Sood,01-Mar-2023 11:56 AM,9372.pdf (477.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, DAO, AE to EE, AE Gopalpur",Manoj Sood,02-Aug-2022 11:48 AM,finsummary_94880.pdf (165.20 KB),Finance,Financial bid opening summary,Manoj Sood,02-Aug-2022 11:45 AM,finance_94880.pdf,BOQ Comparative Chart,1.0,292258.0,MILAP CHAND KAPOOR,INR,"1,047,278",1.0,292258.0,MILAP CHAND KAPOOR,21-Jul-2022 03:19 PM,Accepted-AOC,Work completed,01-Mar-2023 11:57 AM,Technical,Technical bid opening summary,Manoj Sood,29-Jul-2022 12:36 PM,technical_94880.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292819.0,SUNIL DUTT SHARMA,26-Jul-2022 09:45 AM,Rejected-Finance,Bidder is found L2,02-Aug-2022 11:48 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
