Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer,Elect. Division HPPWD Palampur,"42,500",No,fixed,,Nil,Nil,PWD,Elect. Division HPPWD Palampur,2022_PWD_65277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,C/O Zonal Hospital Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and PA System in OPD block therein),C/O Zonal Hospital Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and PA System in OPD block therein),Please refer Tender documents. ,NA ,"21,20,908",Electrical Works,NA ,Tender,120.0,365.0,Dharamshala in Distt. Kangra,176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,corrigendum TQC,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,21-Sep-2022 10:00 AM,28-Sep-2022 11:30 AM,21-Sep-2022 10:00 AM,28-Sep-2022 10:00 AM,NA ,NA ,21-Sep-2022 10:00 AM,28-Sep-2022 10:00 AM,15-Oct-2022 11:30 AM,500.0,Nil,Nil,No,AOC,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Dinesh Kumar Supdt. Sh. Sanjay Awasthi DAO Sh. Atul Nag JDM,Dalip singh Patial,09-Oct-2022 01:51 PM,15-Oct-2022 11:30 AM,techsummary_98255.pdf (274.52 KB),PWD,2022_PWD_65277_1,Elect. Division HPPWD Palampur,C/O Zonal Hospital Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and PA System in OPD block therein),08-Mar-2023,"INR 2,120,908",365.0,Dalip singh Patial,08-Mar-2023 06:11 PM,ZonalHospOPD.pdf (769.00 KB),9135-40 dt 06.02.2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO D/Man,Dalip singh Patial,14-Nov-2022 04:25 PM,finsummary_98255.pdf (22.86 KB),1.0,304002.0,AVNET SOLUTIONS,27-Sep-2022 12:23 PM,Rejected-Finance,L2,14-Nov-2022 04:25 PM,Technical,as per uploaded document,Dalip singh Patial,09-Oct-2022 01:36 PM,technical_98255.pdf,1.0,303251.0,Sudha Kumari,INR,"2,140,100",Finance,as per uploaded document,Dalip singh Patial,14-Nov-2022 04:22 PM,finance_98255.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304171.0,Fire Guard Engineers,27-Sep-2022 06:13 PM,Rejected-Technical,Technically Not Qualified,09-Oct-2022 01:51 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304238.0,Insat Techno Services,27-Sep-2022 02:57 PM,Rejected-Finance,L3,14-Nov-2022 04:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,303251.0,Sudha Kumari,27-Sep-2022 10:28 PM,Accepted-AOC,L1,08-Mar-2023 06:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done as per tender document page-147,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor duly signed,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
