Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
08-Mar-2023,"INR 2,771,623",180.0,Dalip singh Patial,08-Mar-2023 06:27 PM,zonalHosp.pdf (889.00 KB),6587-92 dt 13.10.2022,Er. Dalip Singh Patial Executive Engineer,Internal,SUPDT. DAO HDM/JDM,Dalip singh Patial,11-Sep-2022 07:59 PM,finsummary_96248.pdf (22.88 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Dupdt. DAO HDM/JDM of this office,Dalip singh Patial,07-Sep-2022 04:36 PM,09-Sep-2022 11:30 AM,techsummary_96248.pdf (232.97 KB),PWD,2022_PWD_63874_1,Elect. Division HPPWD Palampur,"C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm system and P.A. system in Indoor Block, Gyne and Blood Bank Block therein)",Finance,as per uploaded document,Dalip singh Patial,11-Sep-2022 07:56 PM,finance_96248.pdf,BOQ Comparative Chart,1.0,297253.0,Sudha Kumari,INR,"2,744,870",Technical,as per uploaded document,Dalip singh Patial,07-Sep-2022 04:31 PM,technical_96248.pdf,1.0,298073.0,AVNET SOLUTIONS,29-Aug-2022 11:46 AM,Rejected-Finance,L2,11-Sep-2022 07:59 PM,AOC,"1,500",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,"49,100",No,fixed,,Nil,Nil,"C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm system and P.A. system in Indoor Block, Gyne and Blood Bank Block therein)","C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm system and P.A. system in Indoor Block, Gyne and Blood Bank Block therein)",Please refer Tender documents. ,NA ,"27,71,623",Electrical Works,NA ,Tender,120.0,180.0,Dharamshala in Distt. Kangra,176215.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Division HPPWD Palampur,2022_PWD_63874_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-Aug-2022 05:00 PM,30-Aug-2022 11:30 AM,22-Aug-2022 05:00 PM,30-Aug-2022 10:00 AM,NA ,NA ,22-Aug-2022 05:00 PM,30-Aug-2022 10:00 AM,09-Sep-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297880.0,Insat Techno Services,29-Aug-2022 01:27 PM,Rejected-Finance,L3,11-Sep-2022 07:59 PM,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,297253.0,Sudha Kumari,29-Aug-2022 07:00 PM,Accepted-AOC,L1,08-Mar-2023 06:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done certificate as per tender document page-147,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),AOC
