Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"A/R and M/O to Bihali Bachuni Chamber Katara, Surella to Pukhri and Link road to village Talori",Repair of pot holes and Patch work at various location,Please refer Tender documents. ,NA ,"21,75,524",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,500.0,Nil,Nil,No,"43,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,07-Apr-2022 01:00 PM,13-Apr-2022 11:30 AM,07-Apr-2022 01:00 PM,13-Apr-2022 11:00 AM,NA ,NA ,07-Apr-2022 01:00 PM,13-Apr-2022 11:00 AM,20-Apr-2022 11:30 AM,1.0,ICICI BANK,PWD,EE Salooni letter No. 14581-14631 date 30-03-2022,2022_PWD_59255_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1.0,276835.0,Kamal Thakur,12-Apr-2022 08:29 PM,Rejected-Finance,Other Than Lowest,29-Apr-2022 01:48 PM,Technical,Bid opening Summary,Deepak Mahajan,19-Apr-2022 11:49 AM,technical_89696.pdf,1.0,277164.0,Rahul Thakur,INR,"2,083,717",Finance,Bid Opening Summary,Deepak Mahajan,29-Apr-2022 01:45 PM,finance_89696.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,19-Apr-2022 11:51 AM,20-Apr-2022 11:30 AM,techsummary_89696.pdf (844.01 KB),PWD,2022_PWD_59255_2,EE Salooni letter No. 14581-14631 date 30-03-2022,"A/R and M/O to Bihali Bachuni Chamber Katara, Surella to Pukhri and Link road to village Talori",28-Jun-2022,"INR 2,175,524",90.0,Deepak Mahajan,23-Mar-2023 01:31 PM,AL.pdf (1214.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,29-Apr-2022 01:48 PM,finsummary_89696.pdf (18.14 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,2.0,277164.0,Rahul Thakur,12-Apr-2022 09:34 PM,Accepted-AOC,Work completed,23-Mar-2023 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,277276.0,sahab singh thakur,12-Apr-2022 10:12 PM,Rejected-Finance,Other Than Lowest,29-Apr-2022 01:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct in all re,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (Without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Own Hot Mix Plant and Road Roller documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
