Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Er. J.S. Thakur,Internal,TA/HDM/Supdt./DAO,Anil Nagpal,23-Feb-2023 07:09 PM,finsummary_102050.pdf (576.42 KB),31-Mar-2023,"INR 3,231,400",90.0,Jagtar Singh Thakur,28-Jun-2023 06:45 PM,1.pdf (576.00 KB),Shri Rajat Thakur,PWD,2023_PWD_67730_1,dshala14506-45,Periodic Maintenance of Dharamshala - Dadh - Chadiar -Sandol road under AMP 2023-24 MDR Road in Distt. Kangra H.P.,Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. Ravi Kant Supdt. Sh. Satish Kumar HDM Sh. Vipan Kumar TA,Jagtar Singh Thakur,22-Feb-2023 04:39 PM,22-Feb-2023 05:00 PM,techsummary_102050.pdf (148.79 KB),Technical,AS PER ATTACHED DOCUMENTS,Anil Nagpal,07-Feb-2023 01:19 PM,technical_102050.pdf,1.0,320145.0,rajat thakur govt contractor,04-Feb-2023 07:14 PM,Accepted-AOC,L1,28-Jun-2023,1.0,320145.0,rajat thakur govt contractor,INR,"3,231,400",Finance,As per document attached,Jagtar Singh Thakur,23-Feb-2023 12:12 PM,finance_102050.pdf,BOQ Comparative Chart,"1,500",Nil,Nil,No,Executive Engineer,Executive Engineer HP PWD Dharmashala,31-Jan-2023 09:00 AM,07-Feb-2023 11:30 AM,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,NA ,NA ,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,22-Feb-2023 05:00 PM,Periodic Maintenance of Dharamshala - Dadh - Chadiar -Sandol road under AMP 2023-24 MDR Road in Distt. Kangra H.P.,SH- Providing and laying 30 mm thick Bituminous Concrete laying with Paver Finisher in km 11/000 to 12/000,Please refer Tender documents. ,NA ,"31,32,150",Civil Works - Roads,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,ICICI BANK,PWD,dshala14506-45,2023_PWD_67730_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"62,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320278.0,Rohit,05-Feb-2023 03:34 PM,Rejected-Finance,Higher Bidder,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. for tarring work and staff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
