Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Tender Document,03-Aug-2022 01:00 PM,22-Aug-2022 03:00 PM,03-Aug-2022 01:00 PM,22-Aug-2022 01:00 PM,NA ,NA ,03-Aug-2022 01:00 PM,22-Aug-2022 01:00 PM,23-Jan-2023 11:30 AM,Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,SLBSGMCH/ENT(03)/2022,2022_DMEHP_63384_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,"50,000",Yes,fixed,,Principal SLBSGMCH Mandi at Nerchwok,Nerchowk,1.0,DD - Demand Draft,E TENDER FOR PROCUREMENT OF GENERAL INSTRUMENTS FOR THE DEPARTMENT OF ENT,E TENDER FOR PROCUREMENT OF GENERAL INSTRUMENTS FOR THE DEPARTMENT OF ENT,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,365.0,45.0,SLBSGMCH Mandi at Nerchwok,175008.0,NA ,NA ,NA ,Administrative Block,No ,No,Principal,SLBSGMCH Mandi at Nerchwok,"2,000",Principal SLBSGMCH Mandi at Nerchwok,Nerchowk,Yes,AOC,1,295982,Arian Drugs and Surgicals,16-Aug-2022 08:04 PM,Accepted-AOC,L-1 for 30 items,29-Mar-2023 05:07 PM,Principal,Internal,Joint Director HOD ENT Section Officer,Anil Kumar,21-Jan-2023 05:19 PM,23-Jan-2023 11:30 AM,techsummary_95565.pdf (1818.90 KB),07-Feb-2023,"INR 389,582",45.0,Anil Kumar,29-Mar-2023 05:04 PM,AOC.pdf (5985.00 KB),AOC,Technical,bid summary,Anil Kumar,22-Aug-2022 03:50 PM,technical_95565.pdf,Finance,Financial Bid Downloaded successfully,Anil Kumar,24-Jan-2023 11:51 AM,None,BOQ Comparative Chart,Principal,Internal,Joint Director HOD ENT Section Officer,Devi Chand Thakur,04-Feb-2023 01:05 PM,finsummary_95565.pdf (6380.19 KB),Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,2022_DMEHP_63384_1,SLBSGMCH/ENT(03)/2022,E TENDER FOR PROCUREMENT OF GENERAL INSTRUMENTS FOR THE DEPARTMENT OF ENT,1.0,295395.0,PRIME MEDICAL SYSTEMS,INR,"69,787.2",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,296590,Chamunda Scientific and Medical Co,20-Aug-2022 03:13 PM,Accepted-AOC,L-1 for 14 items,29-Mar-2023 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,295982.0,Arian Drugs and Surgicals,INR,"163,138",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,296528,LIFE CARE,20-Aug-2022 10:54 AM,Rejected-Technical,Instruments not demonstrated,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,296425.0,MODITECH INTERNATIONAL,INR,"36,019",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,296740,LIFE MEDIC HEALTHCARE,21-Aug-2022 02:40 PM,Rejected-Technical,Documents not completed,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,296590.0,Chamunda Scientific and Medical Co,INR,"120,638",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,296521,mahaluxmi medical agencies,20-Aug-2022 09:39 AM,Rejected-Technical,Demostration not Satisfactory,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,295860,MAJOR SURGICAL CO,20-Aug-2022 12:21 PM,Rejected-Technical,Instruments not demonstrated,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,296652,METLER MEDICA ORTHOPEDICS PVT. LTD.,20-Aug-2022 06:41 PM,Rejected-Technical,Instruments not demonstrated,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,296425,MODITECH INTERNATIONAL,22-Aug-2022 12:17 PM,Accepted-AOC,L-1 for 04 items,29-Mar-2023 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,295395,PRIME MEDICAL SYSTEMS,11-Aug-2022 05:33 PM,Accepted-AOC,L-1 for 10 items,29-Mar-2023 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,296427,Universal Ortho,22-Aug-2022 10:52 AM,Rejected-Technical,Instruments not demonstrated,21-Jan-2023 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
