Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
16-Mar-2023,"INR 28,092,889",365.0,Vijay Kumar Verma,16-Mar-2023 01:04 PM,Award.pdf (549.00 KB),Award,Superintending Engineer,Internal,"Superintending Engineer, EE (D), EE Division Palampur, EE Jaisinghpur, Assistant Engineer (D) Supdt G-II",Vijay Kumar Verma,15-Mar-2023 04:48 PM,finsummary_102424.pdf (320.08 KB),Superintending Engineer,Internal,"Superintending Engineer, E.E. (D) 5th Circle, E.E. Jaisinghpur, D.A.O. Jaisinghpur, A.E. (D) 5th Circle, Supdt G-II 5th Circle",Vijay Kumar Verma,21-Feb-2023 11:10 AM,25-Feb-2023 03:30 PM,techsummary_102424.pdf (761.69 KB),PWD,2023_PWD_67982_1,C/O link road from Village Halon Kalan to Bharan,Construction of Link Road From Village Halon Kalan to Bharan KM 0/0 to 2/310,1.0,323796.0,VISHAL RAJPUT,INR,"22,351,446",Finance,Summary,Vijay Kumar Verma,15-Mar-2023 04:41 PM,finance_102424.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Verma,21-Feb-2023 10:50 AM,technical_102424.pdf,1.0,323760.0,Kuldeep Chand Rana,16-Feb-2023 01:48 PM,Rejected-Finance,Rejected due to higher rates bidder L2,15-Mar-2023 04:48 PM,AOC,"5,62,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Form of Bid for Part-I of the Bid as per Section-6.,Construction of Link Road From Village Halon Kalan to Bharan KM 0/0 to 2/310,"Formation Cutting, R/walls, B/wall, Crash barrier, C.D. work, GSB, WBM-II, WBM-III, Tarring, C.C. Pavement, side drain, parapets and road furniture including routine maintenance for five years after completion of construction work.(Under Nabard RIDF",Please refer Tender documents. ,NA ,"2,80,92,889",Civil Works - Roads,NA ,Tender,75.0,365.0,Palampur,176095.0,NA ,NA ,NA ,Palampur,No ,No,PWD,C/O link road from Village Halon Kalan to Bharan,2023_PWD_67982_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,Superintending Engineer 5th Circle HPPWD Palampur,1.0,ICICI BANK,06-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,NA ,NA ,06-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,25-Feb-2023 03:30 PM,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320421.0,Kulvinder Singh Rana,16-Feb-2023 02:25 PM,Rejected-Finance,Rejected due to higher rates bidder L2,15-Mar-2023 04:48 PM,AOC,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1 (online),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,323796.0,VISHAL RAJPUT,16-Feb-2023 10:58 AM,Accepted-AOC,Accepted due to lowest rates bidder L1,16-Mar-2023 01:10 PM,AOC,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4) along with documents i.e. Bill, R.C. etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section 3(1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Q.I. as per Section-2 Cl(4.2 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"PAN, Address of Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
