Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"2,000",Nil,Nil,No,Balance work for construction of 1st Floor Teaching Block BBA and BCA Block for S.C.V.B Govt. Degree College at Palampur Distt. Kangra (HP) (SW- Balance work of Main Building and Water Supply and Sanitary Installation),Balance work for construction of 1st Floor Teaching Block BBA and BCA Block for S.C.V.B Govt. Degree College at Palampur Distt. Kangra (HP) (SW- Balance work of Main Building and Water Supply and Sanitary Installation),Please refer Tender documents. ,NA ,"76,57,282",Civil Works - Buildings,NA ,Rate Contract,120.0,180.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,11-Mar-2022 10:00 AM,17-Mar-2022 11:30 AM,11-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,NA ,NA ,11-Mar-2022 10:00 AM,17-Mar-2022 11:00 AM,29-Mar-2022 11:00 AM,1.0,ICICI BANK,"1,53,000",No,fixed,,Nil,Nil,Executive Engineer,Palampur Division HPPWD Palampur,PWD,20182-20231 dated 26.02.2022 and corrigendum,2022_PWD_57753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,270371.0,GALAXY ASSOCIATE,17-Mar-2022 09:22 AM,Accepted-AOC,AOC,03-Mar-2023 05:39 PM,Technical,as per uploaded document,Manoj Sood,28-Mar-2022 01:15 PM,technical_87195.pdf,Finance,As per uploaded document,Manoj Sood,01-Apr-2022 06:00 PM,finance_87195.pdf,BOQ Comparative Chart,1.0,270371.0,GALAXY ASSOCIATE,INR,"7,385,156",Er. B.M. Thakur Executive Engineer,Internal,"TA, Supdt., HDM, DAO, AE Palampur, AE to EE",Manoj Sood,28-Mar-2022 01:17 PM,29-Mar-2022 11:00 AM,techsummary_87195.pdf (1177.94 KB),PWD,2022_PWD_57753_1,20182-20231 dated 26.02.2022 and corrigendum,Balance work for construction of 1st Floor Teaching Block BBA and BCA Block for S.C.V.B Govt. Degree College at Palampur Distt. Kangra (HP) (SW- Balance work of Main Building and Water Supply and Sanitary Installation),24-May-2022,"INR 7,657,282",180.0,Manoj Sood,03-Mar-2023 05:39 PM,4089.pdf (1052.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,01-Apr-2022 06:03 PM,finsummary_87195.pdf (605.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,270403.0,TANUJ SHARMA,17-Mar-2022 08:51 AM,Rejected-Finance,Bidder is found L-2,01-Apr-2022 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly approved by C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
