Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"1,500",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"52,650",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,PWD-Civil Tanda 16,2022_PWD_65130_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,19-Sep-2022 01:00 PM,30-Sep-2022 11:30 AM,19-Sep-2022 01:00 PM,30-Sep-2022 09:00 AM,NA ,NA ,19-Sep-2022 01:00 PM,30-Sep-2022 09:00 AM,03-Oct-2022 10:00 AM,"Special repair to Senior Boys Ho Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)","Special repair to Senior Boys Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)",Please refer Tender documents. ,NA ,"26,30,549",Civil Works,NA ,Tender,120.0,180.0,Nagrota,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,PWD,2022_PWD_65130_2,PWD-Civil Tanda 16,"Special repair to Senior Boys Ho Hostel in Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Dismantling tile, repair of plaster providing and fixing floor tiles wall tile aluminium work, wooden work, WS and SI etc in toilet of block-A)",Dr Suresh kumar walia,Internal,AE SUpdt HDM DAO,Ankit Kumar,01-Oct-2022 04:37 PM,03-Oct-2022 10:00 AM,techsummary_98114.pdf (1832.30 KB),Dr Suresh kumar walia,Internal,AE Supdt HDM DAo,Ankit Kumar,07-Oct-2022 01:19 PM,finsummary_98114.pdf (193.50 KB),31-Mar-2023,"INR 2,630,549",180.0,Suresh Kumar Walia,20-Apr-2023 11:18 AM,Award.pdf (358.00 KB),Award,Finance,sum,Ankit Kumar,07-Oct-2022 01:17 PM,finance_98114.pdf,BOQ Comparative Chart,1.0,305132.0,MANJEET SINGH RANA,INR,"1,882,301",1.0,305132.0,MANJEET SINGH RANA,29-Sep-2022 09:21 PM,Accepted-AOC,Award,20-Apr-2023,Technical,sum,Ankit Kumar,01-Oct-2022 04:31 PM,technical_98114.pdf
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304695.0,MUKESH CHAND,29-Sep-2022 03:44 PM,Rejected-Finance,Lowest 4,07-Oct-2022,,,,,
,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304541.0,parveen kumar,28-Sep-2022 08:58 PM,Rejected-Finance,Lowest 3,07-Oct-2022,,,,,
,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,302799.0,Saini,28-Sep-2022 10:17 AM,Rejected-Finance,Lowest 2,07-Oct-2022,,,,,
,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
