Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
10-Oct-2022,"INR 1,592,196",90.0,Manoj Sood,29-Mar-2023 11:37 AM,64170.pdf (240.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,12-Sep-2022 02:22 PM,finsummary_96647.pdf (161.71 KB),"Er. B.M. Thakur, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,09-Sep-2022 03:27 PM,12-Sep-2022 11:00 AM,techsummary_96647.pdf (168.27 KB),PWD,2022_PWD_64170_1,EE Palampur NIT No. 9631-680 dt 22.8.2022,Construction of Bridge over Mama Bhanja Nallah at GP Band Vihar Palampur (Under SCSP) (SW- Construction of 6.00 Mtrs. Span RCC Slab Culvert at RD 3/690),Technical,Technical bid opening summary,Manoj Sood,09-Sep-2022 03:23 PM,technical_96647.pdf,1.0,299750.0,Rohit Sharma,07-Sep-2022 08:42 PM,Accepted-AOC,AOC,29-Mar-2023 11:37 AM,1.0,299750.0,Rohit Sharma,INR,"1,163,034.27",Finance,Financial bid opening summary,Manoj Sood,12-Sep-2022 02:18 PM,finance_96647.pdf,BOQ Comparative Chart,AOC,Construction of Bridge over Mama Bhanja Nallah at GP Band Vihar Palampur (Under SCSP) (SW- Construction of 6.00 Mtrs. Span RCC Slab Culvert at RD 3/690),Construction of Bridge over Mama Bhanja Nallah at GP Band Vihar Palampur (Under SCSP) (SW- Construction of 6.00 Mtrs. Span RCC Slab Culvert at RD 3/690),Please refer Tender documents. ,NA ,"15,92,196",Civil Works - Bridges,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,HPPWD Division Palampur,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,ICICI BANK,"31,900",No,fixed,,Nil,Nil,"Er. B.M.Thakur, EE",Palampur Division HPPWD Palampur,02-Sep-2022 10:00 AM,08-Sep-2022 11:30 AM,02-Sep-2022 10:00 AM,08-Sep-2022 11:00 AM,NA ,NA ,02-Sep-2022 10:00 AM,08-Sep-2022 11:00 AM,12-Sep-2022 11:00 AM,PWD,EE Palampur NIT No. 9631-680 dt 22.8.2022,2022_PWD_64170_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,299667.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,07-Sep-2022 07:21 PM,Rejected-Finance,Bidder is found L2,12-Sep-2022 02:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,299675.0,TANUJ SHARMA,07-Sep-2022 07:38 PM,Rejected-Finance,Bidder is found L3,12-Sep-2022 02:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
