S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,31-Jan-2023 09:00 AM,07-Feb-2023 11:30 AM,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,NA ,NA ,31-Jan-2023 09:00 AM,06-Feb-2023 05:00 PM,22-Feb-2023 05:00 PM,Executive Engineer,Executive Engineer HP PWD Dharmashala,Periodic Maintenance of Link No.II to officers residential colony in Chirgari road under AMP 2023-24 Rural Road in Distt. Kangra H.P.,SH- Providing and laying 30 mm thick Bituminous Concrete laying with Paver Finisher in km 1/000 to 1/500,Please refer Tender documents. ,NA ,"6,28,492",Civil Works - Roads,NA ,Tender,75.0,60.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,"12,600",No,fixed,,Nil,Nil,PWD,dshala14506-45,2023_PWD_67730_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,350.0,Nil,Nil,No,Finance,As per document attached,Jagtar Singh Thakur,23-Feb-2023 11:51 AM,finance_102107.pdf,BOQ Comparative Chart,1.0,319849.0,Navneet Thakur,04-Feb-2023 06:28 PM,Rejected-Finance,L2,23-Feb-2023,Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. Ravi Kant Supdt. Sh. Satish Kumar HDM Sh. Vipan Kumar TA,Jagtar Singh Thakur,22-Feb-2023 04:55 PM,22-Feb-2023 05:00 PM,techsummary_102107.pdf (153.63 KB),Technical,ATTACHED,Anil Nagpal,07-Feb-2023 02:00 PM,technical_102107.pdf,1.0,320264.0,Rohit,INR,"650,185",25-Mar-2023,"INR 650,185",60.0,Jagtar Singh Thakur,21-Apr-2023 06:01 PM,13.pdf (549.00 KB),"Shri Rohit Sharma, VPO Dhagwar",PWD,2023_PWD_67730_13,dshala14506-45,Periodic Maintenance of Link No.II to officers residential colony in Chirgari road under AMP 2023-24 Rural Road in Distt. Kangra H.P.,Er. J.S. Thakur,Internal,TA/HDM/Supdt/DAO,Anil Nagpal,23-Feb-2023 08:00 PM,finsummary_102107.pdf (576.42 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,2.0,320264.0,Rohit,05-Feb-2023 01:30 PM,Accepted-AOC,L1,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. for tarring work and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
