S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,289401.0,ANOOP VERMA,01-Jul-2022 11:59 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2022 04:22 PM,ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,04-Jul-2022 04:24 PM,04-Jul-2022 04:25 PM,techsummary_93759.pdf (316.84 KB),21-Mar-2023,"INR 1,670,350",90.0,Ashish Rana,22-Mar-2023 03:45 PM,AOC.pdf (730.00 KB),Award to Contractor,Technical,Technical Summary,Ashish Rana,04-Jul-2022 04:22 PM,technical_93759.pdf,Finance,Financial Summary,Ashish Rana,04-Jul-2022 05:23 PM,finance_93759.pdf,BOQ Comparative Chart,1.0,289355.0,HARINDER KUMAR VERMA.,INR,"1,520,786","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_62165_5,NHN-SMROO-722- 6624-6704 dt 25-06-2022,Augmentation/Improvement of LWSS to Sarol Basech and its adjoining habitation under GP Chamenji Tehsil Pachhad Distt. Sirmour HP,ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,04-Jul-2022 05:40 PM,finsummary_93759.pdf (343.84 KB),AOC,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 6624-6704 dt 25-06-2022,2022_HPIPH_62165_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"33,400",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,25-Jun-2022 05:00 PM,02-Jul-2022 11:30 AM,25-Jun-2022 05:00 PM,02-Jul-2022 11:00 AM,NA ,NA ,25-Jun-2022 05:00 PM,02-Jul-2022 11:00 AM,04-Jul-2022 04:25 PM,Augmentation/Improvement of LWSS to Sarol Basech and its adjoining habitation under GP Chamenji Tehsil Pachhad Distt. Sirmour HP,"C/O RCC main Storage Tank 25000 ltrs cap. 1 No. at Node No. 4(Part 1st), C/O RCC Sumpwell cum delivery tank 40000 ltrs cap. 1 No at Node No. 3 and C/I RCC Sector Storage tank 5000 ltrs cap. 1 No. at Node No. 13 (Part 2nd) C/O Pump house cum attendant",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC
2.0,289355.0,HARINDER KUMAR VERMA.,02-Jul-2022 10:50 AM,Accepted-AOC,AOC,22-Mar-2023 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,289586.0,KAMLENDER SINGH,01-Jul-2022 07:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Jul-2022 04:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,289569.0,Pradeep Kumar,01-Jul-2022 07:24 PM,Rejected-Finance,Reject,04-Jul-2022 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Undertaking JOint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
