Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,PWD,EE Salooni Letter No. 10298-10348 dated 03-10-2022,2022_PWD_66608_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Oct-2022 10:00 PM,25-Oct-2022 11:30 AM,17-Oct-2022 10:00 AM,25-Oct-2022 11:00 AM,NA ,NA ,17-Oct-2022 10:00 AM,25-Oct-2022 11:00 AM,01-Mar-2023 11:30 AM,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,"45,500",No,fixed,,Nil,Nil,Construction of Jeep-able standard link road to village Kotla in K.M. 0/0 to 2/100 in Tehsil Salooni District Chamba HP,Construction of 2 No. hume pipe culverts alongwith wing wall and construction of retaining wall at various RDs,Please refer Tender documents. ,NA ,"22,72,008",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,25-Feb-2023 04:00 PM,01-Mar-2023 11:30 AM,techsummary_100168.pdf (948.45 KB),PWD,2022_PWD_66608_1,EE Salooni Letter No. 10298-10348 dated 03-10-2022,Construction of Jeep-able standard link road to village Kotla in K.M. 0/0 to 2/100 in Tehsil Salooni District Chamba HP,31-Mar-2023,"INR 2,272,008",90.0,Kumud Kumar Upadhyay,25-Oct-2023 06:33 PM,AL.pdf (916.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,22-Mar-2023 05:59 PM,finsummary_100168.pdf (18.27 KB),1.0,309647.0,Akhtar Hussaun,24-Oct-2022 07:24 PM,Rejected-Finance,Other Than Lowest,22-Mar-2023,Technical,Bid Opening Summary,Deepak Mahajan,25-Feb-2023 03:49 PM,technical_100168.pdf,Finance,Bid Opening Summary,Deepak Mahajan,22-Mar-2023 05:54 PM,finance_100168.pdf,BOQ Comparative Chart,1.0,309662.0,Mohd. Ashraf,INR,"1,760,467"
,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,309713.0,Hariesh Thakur,25-Oct-2022 10:54 AM,Rejected-Finance,Other Than Lowest,22-Mar-2023,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,309705.0,Madan Lal,25-Oct-2022 10:44 AM,Rejected-Finance,Other Than Lowest,22-Mar-2023,,,,,,,,,,,,,,,,
,,.pdf,GST No. and copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,309662.0,Mohd. Ashraf,23-Oct-2022 06:23 PM,Accepted-AOC,Work completed,25-Oct-2023,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
