Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"19,100",No,fixed,,Nil,Nil,PWD,EE Salooni Letter No. 10298-10348 dated 03-10-2022,2022_PWD_66608_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK,17-Oct-2022 10:00 AM,25-Oct-2022 11:30 AM,17-Oct-2022 10:00 AM,25-Oct-2022 11:00 AM,NA ,NA ,17-Oct-2022 10:00 AM,25-Oct-2022 11:00 AM,04-Mar-2023 11:30 AM,Construction of link road to village Danoon K.M. 0/0 to 1/400,Construction of PCC Retaining wall at R.D. 1/040 to 1/065,Please refer Tender documents. ,NA ,"9,51,954",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,PWD,2022_PWD_66608_2,EE Salooni Letter No. 10298-10348 dated 03-10-2022,Construction of link road to village Danoon K.M. 0/0 to 1/400,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,02-Mar-2023 04:32 PM,04-Mar-2023 11:30 AM,techsummary_100169.pdf (651.63 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,22-Mar-2023 06:11 PM,finsummary_100169.pdf (18.02 KB),31-Mar-2023,"INR 951,954",90.0,Kumud Kumar Upadhyay,30-Mar-2024 03:49 PM,AL.pdf (542.00 KB),Award Letter,1.0,309698.0,ajay kumar,25-Oct-2022 09:26 AM,Accepted-AOC,Other Than Lowest,30-Mar-2024,Technical,Bid Opening Summary,Deepak Mahajan,02-Mar-2023 04:30 PM,technical_100169.pdf,Finance,Bid Opening Summary,Deepak Mahajan,22-Mar-2023 06:09 PM,finance_100169.pdf,BOQ Comparative Chart,1.0,309649.0,Akhtar Hussaun,INR,"670,588"
,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,309649.0,Akhtar Hussaun,24-Oct-2022 07:07 PM,Accepted-AOC,Work Completed,30-Mar-2024,,,,,,,,,,,,2.0,309698.0,ajay kumar,INR,0
,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST No. and copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
