Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial bid opening summary,Manoj Sood,23-Jun-2022 12:03 PM,finance_93006.pdf,BOQ Comparative Chart,1.0,287116.0,Rohit Sharma,INR,"1,994,475",Technical,Technical bid opening summary,Manoj Sood,22-Jun-2022 11:00 AM,technical_93006.pdf,1.0,287138.0,M/S BRS Logistics,20-Jun-2022 08:54 AM,Rejected-Finance,Bidder is found L5,23-Jun-2022 12:11 PM,03-Aug-2022,"INR 1,236,760",90.0,Manoj Sood,29-Mar-2023 12:43 PM,61627.pdf (260.00 KB),AOC,Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE to EE Palampur",Manoj Sood,23-Jun-2022 12:12 PM,finsummary_93006.pdf (154.03 KB),Er.B.M Thakur,Internal,"TA, Supdt, HDM, Sr. DAO, AE to EE Palampur",Manoj Sood,22-Jun-2022 11:06 AM,22-Jun-2022 03:00 PM,techsummary_93006.pdf (162.03 KB),PWD,2022_PWD_61627_1,EE Palampur NIT No.5155-90 dt 3.6.22,Construction of link road from Badsar to Ardi Km 0/00 to 4/00 (SW- Providing laying of G-II G-III and Premix Carpet at RDs between 2/00 to 3/00).,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,PWD,EE Palampur NIT No.5155-90 dt 3.6.22,2022_PWD_61627_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Date,,1.0,ICICI BANK,"24,700",No,fixed,,Nil,Nil,Construction of link road from Badsar to Ardi Km 0/00 to 4/00 (SW- Providing laying of G-II G-III and Premix Carpet at RDs between 2/00 to 3/00).,Construction of link road from Badsar to Ardi Km 0/00 to 4/00 (SW- Providing laying of G-II G-III and Premix Carpet at RDs between 2/00 to 3/00).,Please refer Tender documents. ,NA ,"12,36,760",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,Er. B.M. Thakur,Palampur Division HP.PWD Palampur,500.0,Nil,Nil,No,10-Jun-2022 01:00 PM,20-Jun-2022 11:30 AM,10-Jun-2022 01:00 PM,20-Jun-2022 11:00 AM,NA ,NA ,10-Jun-2022 01:00 PM,20-Jun-2022 11:00 AM,22-Jun-2022 03:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,286992.0,Nagu Ram,18-Jun-2022 12:44 PM,Rejected-Finance,Bidder is found L2,23-Jun-2022 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,287116.0,Rohit Sharma,19-Jun-2022 03:32 PM,Accepted-AOC,AOC,29-Mar-2023 12:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,287417.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,18-Jun-2022 01:23 PM,Rejected-Finance,Bidder is found L3,23-Jun-2022 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,287128.0,Sunil Walia,15-Jun-2022 10:52 PM,Rejected-Finance,Bidder is found L4,23-Jun-2022 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
