Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
08-Mar-2023,"INR 2,949,115",365.0,Dalip singh Patial,08-Mar-2023 05:50 PM,SprinklerCentreOfExcellence.pdf (1387.00 KB),9976-81 dated 01.03.2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,08-Mar-2023 05:46 PM,finsummary_102639.pdf (22.37 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman of this office,Dalip singh Patial,22-Feb-2023 11:33 AM,27-Feb-2023 11:30 AM,techsummary_102639.pdf (335.62 KB),PWD,2023_PWD_68154_2,Elect. Division HPPWD Palampur,"C/O Centre of Excellence in Mental Health Dr.RPGMC Kangra at Tanda, HP (SH- Providing Sprinkler system therein)",Technical,as per uploaded document,Dalip singh Patial,22-Feb-2023 11:30 AM,technical_102639.pdf,1.0,320850.0,Daksh Enterprises,11-Feb-2023 07:36 PM,Rejected-Technical,Technically Not Qualified,22-Feb-2023 11:33 AM,Finance,as per uploaded document,Dalip singh Patial,08-Mar-2023 05:45 PM,finance_102639.pdf,BOQ Comparative Chart,1.0,320849.0,Sudha Kumari,INR,"2,988,835",AOC,PWD,Elect. Division HPPWD Palampur,2023_PWD_68154_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,"C/O Centre of Excellence in Mental Health Dr.RPGMC Kangra at Tanda, HP (SH- Providing Sprinkler system therein)","C/O Centre of Excellence in Mental Health Dr.RPGMC Kangra at Tanda, HP (SH- Providing Sprinkler system therein)",Please refer Tender documents. ,NA ,"29,49,115",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,06-Feb-2023 05:00 PM,14-Feb-2023 11:30 AM,06-Feb-2023 05:00 PM,14-Feb-2023 10:00 AM,NA ,NA ,06-Feb-2023 05:00 PM,14-Feb-2023 10:00 AM,27-Feb-2023 11:30 AM,"51,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320849.0,Sudha Kumari,11-Feb-2023 07:22 PM,Accepted-AOC,L1,08-Mar-2023 05:51 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,322382.0,TARUN FIRE SYSTEM,13-Feb-2023 07:31 PM,Rejected-Finance,L2,08-Mar-2023 05:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender documents page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
