Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,Bid Opening summary,Deepak Mahajan,15-Feb-2023 06:07 PM,technical_102432.pdf,1.0,321512.0,Kamal Thakur,13-Feb-2023 10:02 AM,Accepted-AOC,Work Completed,30-Mar-2024,1.0,321512.0,Kamal Thakur,INR,"3,224,096",Finance,Bid Opening Summary,Deepak Mahajan,23-Mar-2023 06:52 PM,finance_102432.pdf,BOQ Comparative Chart,30-Mar-2023,"INR 3,323,811",90.0,Kumud Kumar Upadhyay,30-Mar-2024 12:57 PM,AL.pdf (1126.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,23-Mar-2023 06:54 PM,finsummary_102432.pdf (186.55 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,15-Feb-2023 06:47 PM,20-Feb-2023 11:30 AM,techsummary_102432.pdf (613.11 KB),PWD,2023_PWD_67988_3,EE Salooni Letter No. 13186-13235 dated 27.01.2023,"Periodical Maintenance on Lachori to Seri road (PMGSY) under AMP for the year 2023-2024 K.M. 2/0 to 3/0, and 5/0 to 6/0",1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,03-Feb-2023 04:00 PM,13-Feb-2023 11:30 AM,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,NA ,NA ,03-Feb-2023 04:00 PM,13-Feb-2023 11:00 AM,20-Feb-2023 11:30 AM,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,PWD,EE Salooni Letter No. 13186-13235 dated 27.01.2023,2023_PWD_67988_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Periodical Maintenance on Lachori to Seri road (PMGSY) under AMP for the year 2023-2024 K.M. 2/0 to 3/0, and 5/0 to 6/0",Providing and laying 30mm thick bituminous concrete,Please refer Tender documents. ,NA ,"33,23,811",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"66,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,"1,500",Nil,Nil,No
,,,,,2.0,321473.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,13-Feb-2023 09:57 AM,Rejected-Finance,Other Than Lowest,23-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7/8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.) in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
