Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
Finance,Financial bid opening summary,Manoj Sood,15-Mar-2023 03:57 PM,finance_105723.pdf,BOQ Comparative Chart,1.0,331494.0,Rohit Sharma,INR,"408,508",Technical,Technical bid opening summary,Manoj Sood,13-Mar-2023 05:43 PM,technical_105723.pdf,1.0,331494.0,Rohit Sharma,04-Mar-2023 01:52 PM,Accepted-AOC,AOC,29-Mar-2023 12:20 PM,23-Mar-2023,"INR 502,267",90.0,Manoj Sood,29-Mar-2023 12:20 PM,70149.pdf (392.00 KB),AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,15-Mar-2023 03:59 PM,finsummary_105723.pdf (159.84 KB),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Palampur",Manoj Sood,13-Mar-2023 05:44 PM,14-Mar-2023 12:00 PM,techsummary_105723.pdf (151.12 KB),PWD,2023_PWD_70149_1,EE Plp NIT No. 19932-981 dt 1.3.2023,C/O Bridge over Mama Bhanja Nalah at G.P Band Bihar Palampur (SW - C/o approaches of 6.00 mtrs. Span RCC Slab Culvert at RD 3/690),AOC,C/O Bridge over Mama Bhanja Nalah at G.P Band Bihar Palampur (SW - C/o approaches of 6.00 mtrs. Span RCC Slab Culvert at RD 3/690),C/O Bridge over Mama Bhanja Nalah at G.P Band Bihar Palampur (SW - C/o approaches of 6.00 mtrs. Span RCC Slab Culvert at RD 3/690),Please refer Tender documents. ,NA ,"5,02,267",Civil Works - Roads,NA ,Tender,75.0,90.0,Palampuir,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,350.0,Nil,Nil,No,"10,100",Yes,fixed,,Nil,Nil,PWD,EE Plp NIT No. 19932-981 dt 1.3.2023,2023_PWD_70149_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Mar-2023 10:00 AM,09-Mar-2023 11:30 AM,04-Mar-2023 10:00 AM,09-Mar-2023 11:00 AM,NA ,NA ,04-Mar-2023 10:00 AM,09-Mar-2023 11:00 AM,14-Mar-2023 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,1.0,ICICI BANK,"Dr. S.K.Walia, EE",Palampur Division HPPWD Palampur,AOC
,,,,,,,,,,,,,,,,2.0,332393.0,Sunil Walia,06-Mar-2023 08:18 PM,Rejected-Finance,Bidder is found L2,15-Mar-2023 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,AOC
